date,year,president,no,maxFreq,numberOfSentences,numberOfWords,numberOfSyllables,fleschKincaid,word
1790-01-08,1790,George Washington,1,3,24,1085,1869,22.367702,render
1790-12-08,1790,George Washington,1,3,40,1403,2288,17.332584,militia
1791-10-25,1791,George Washington,1,7,60,2304,3937,19.549458,provision
1792-11-06,1792,George Washington,1,8,61,2099,3492,17.460895999999998,among
1793-12-03,1793,George Washington,1,24,56,1965,3233,17.509274,states
1794-11-19,1794,George Washington,1,12,79,2916,4872,18.520668,laws
1795-12-08,1795,George Washington,1,9,53,1987,3405,19.252254,indians
1796-12-07,1796,George Washington,1,5,80,2868,4796,18.123997,appointed
1797-11-22,1797,John Adams,2,18,59,2060,3419,17.611511,united
1798-12-08,1798,John Adams,2,10,58,2218,3684,18.923416,france
1799-12-03,1799,John Adams,2,7,36,1505,2580,20.942738,gentlemen
1800-11-11,1800,John Adams,2,8,40,1372,2308,17.637142,gentlemen
1801-12-08,1801,Thomas Jefferson,3,9,90,3225,5314,17.828472,laid
1802-12-15,1802,Thomas Jefferson,3,9,62,2198,3504,17.047413,vessels
1803-10-17,1803,Thomas Jefferson,3,9,48,2268,3791,22.561398,millions
1804-11-08,1804,Thomas Jefferson,3,8,49,2098,3405,20.259464,whether
1805-12-03,1805,Thomas Jefferson,3,10,78,2932,4606,17.607105,millions
1806-12-02,1806,Thomas Jefferson,3,12,77,2863,4643,18.047268,necessary
1807-10-27,1807,Thomas Jefferson,3,14,62,2389,3885,18.626781,shall
1808-11-08,1808,Thomas Jefferson,3,7,72,2682,4452,18.524971,millions
1809-11-29,1809,James Madison,4,7,40,1830,3090,22.17709,minister
1810-12-05,1810,James Madison,4,5,61,2442,4178,20.211319,neutral
1811-11-05,1811,James Madison,4,9,46,2273,3845,23.64193,british
1812-11-04,1812,James Madison,4,20,87,3239,5420,18.675255,war
1813-12-07,1813,James Madison,4,28,69,3254,5396,22.369724,war
1814-09-20,1814,James Madison,4,13,50,2110,3476,20.30724,enemy
1815-12-05,1815,James Madison,4,19,59,3142,5463,25.695827,public
1816-12-03,1816,James Madison,4,10,72,3361,5671,22.525501,ports
1817-12-12,1817,James Monroe,5,22,123,4413,7149,17.51828,public
1818-11-16,1818,James Monroe,5,26,118,4374,7261,18.454872,spain
1819-12-07,1819,James Monroe,5,31,132,4706,7604,17.380642,united
1820-11-14,1820,James Monroe,5,22,85,3437,5558,19.261639,great
1821-12-03,1821,James Monroe,5,23,158,5811,9351,17.742043,vessels
1822-12-03,1822,James Monroe,5,26,118,4719,7650,19.135746,great
1823-12-02,1823,James Monroe,5,13,187,6361,10401,16.970676,post
1824-12-07,1824,James Monroe,5,32,249,8408,13503,16.52961,every
1825-12-06,1825,John Quincy Adams,6,22,213,8986,14809,20.309734,improvement
1826-12-05,1826,John Quincy Adams,6,46,172,7699,12640,21.23994,united
1827-12-04,1827,John Quincy Adams,6,34,168,6966,11518,20.091896,between
1828-12-02,1828,John Quincy Adams,6,17,195,7290,12036,18.472141,union
1829-12-08,1829,Andrew Jackson,7,17,302,10522,17394,17.504684,therefore
1830-12-06,1830,Andrew Jackson,7,49,394,15088,25039,18.927284,general
1831-12-06,1831,Andrew Jackson,7,23,168,7187,11801,20.469616,state
1832-12-04,1832,Andrew Jackson,7,31,200,7869,12907,19.10931,public
1833-12-03,1833,Andrew Jackson,7,54,182,7898,12896,20.601543,states
1834-12-01,1834,Andrew Jackson,7,31,318,13434,22084,20.283543,france
1835-12-07,1835,Andrew Jackson,7,29,240,10805,17759,21.3625,subject
1836-12-05,1836,Andrew Jackson,7,39,294,12343,20162,20.058392,bank
1837-12-05,1837,Martin van Buren,8,56,283,11439,18994,19.767422,public
1838-12-03,1838,Martin van Buren,8,74,267,11476,19343,21.061802,states
1839-12-02,1839,Martin van Buren,8,71,343,13420,21965,18.98238,public
1840-12-05,1840,Martin van Buren,8,67,184,8989,15268,23.505314,government
1841-12-07,1841,John Tyler,10,57,202,8227,13470,19.613853,government
1842-12-06,1842,John Tyler,10,19,207,8393,13684,19.461693,treasury
1843-12-06,1843,John Tyler,10,57,194,8023,13180,19.923481,government
1844-12-03,1844,John Tyler,10,59,271,9307,15393,17.32005,states
1845-12-02,1845,James Polk,11,41,451,16092,26258,17.58004,mexico
1846-12-08,1846,James Polk,11,158,480,18191,29851,18.553707,mexico
1847-12-07,1847,James Polk,11,107,440,16375,26640,18.121273,mexico
1848-12-05,1848,James Polk,11,75,606,21264,35044,17.541668,public
1849-12-04,1849,Zachary Taylor,12,18,213,7610,12836,18.247192,treaty
1850-12-02,1850,Millard Fillmore,13,22,235,8311,13739,17.709427,duty
1851-12-02,1851,Millard Fillmore,13,44,354,13191,21687,18.342548,last
