charge_sort,match_sort,score_sort
ENTERING AND REMAINING IN A RESTRICTED BUILDING,ENTERING AND REMAINING IN ANY RESTRICTED BUILDING,96
ENTERING AND REMAINING IN A RESTRICTED BUILDING,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,90
ENTERING AND REMAINING IN A RESTRICTED BUILDING,ENTERING AND REMAINING IN A RESTRICTED BUILDING AND GROUNDS,89
ENTERING AND REMAINING IN A RESTRICTED BUILDING,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,88
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,91
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING AND GROUNDS,91
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING,DISORDERLY AND DISURPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,90
VIOLENT ENTRY AND DISORDERLY CONDUCT IN A CAPITOL BUILDING,VIOLENT ENTRY AND DISORDERLY CONDUCT IN CAPITOL BUILDING,98
VIOLENT ENTRY AND DISORDERLY CONDUCT IN A CAPITOL BUILDING,VIOLENT ENTRY AND DISORDERLY CONDUCT IN A CAPITOL BUILDING OR GROUNDS,91
"PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING,",100
"PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING","PARADING, DEMONSTRATING, OR PICKETING IN CAPITOL BUILDINGS",97
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,ENTERING AND REMAINING IN RESTRICTED BUILDING OR GROUNDS,98
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,ENTERNING OR AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,97
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,96
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISURPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,99
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,99
DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,96
DISORDERLY CONDUCT IN A CAPITOL BUILDING,DISORDERLY CONDUCT IN A CAPITOL BULDING,99
DISORDERLY CONDUCT IN A CAPITOL BUILDING,DISORDERLY CONDUCT IN A CAPITOL BUILDNIG,98
CIVIL DISORDER,CIVIL DISORDERS,97
OBSTRUCTION OF AN OFFICIAL PROCEEDING,OBSTRUCTION OF OFFICIAL PROCEEDINGS,94
"ASSAULTING, RESISTING OR IMPEDING CERTAIN OFFICERS","ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS",100
"ASSAULTING, RESISTING OR IMPEDING CERTAIN OFFICERS","ASSAULTING, RESISTING, OR IMPEDING CERTIN OFFICERS",99
"ASSAULTING, RESISTING OR IMPEDING CERTAIN OFFICERS","ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS OR EMPLOYEES",88
"ASSAULTING, RESISTING OR IMPEDING CERTAIN OFFICERS","ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS",85
IMPEDING PASSAGE THROUGH THE CAPITOL GROUNDS OR BUILDINGS,IMPEDING PASSAGE THROUGH THE CAPITOL GROUNDS OR BUILDINGS AND AIDING AND ABETTING,83
IMPEDING PASSAGE THROUGH THE CAPITOL GROUNDS OR BUILDINGS,IMPEDING PASSAGE THROUGH THE CAPITOL GROUNDS OR BUILDINGS AND AIDING AND ABETTING,82
OBSTRUCTION OF LAW ENFORCEMENT DURING CIVIL DISORDER,OBSTRUCTION OF LAW ENFORCEMENT DURING CIVIL DISORDER AND AIDING AND ABETTING,81
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY.,100
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,KNOWLINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,99
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,ONE COUNT OF KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,94
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING WITHOUT LAWFUL AUTHORITY,94
DISORDERLY CONDUCT ON CAPITOL GROUNDS,VIOLENT ENTRY DISORDERLY CONDUCT ON CAPITOL GROUNDS,84
DISORDERLY CONDUCT ON CAPITOL GROUNDS,DISORDERLY CONDUCT ON GROUNDS OR IN A CAPITOL BUILDING,81
DISORDERLY CONDUCT ON CAPITOL GROUNDS,VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS,80
PARADING OR DEMONSTRATING IN CAPITOL BUILDING,"PARADING, DEMONSTRATING, OR PICKETING IN CAPITOL BUILDINGS",89
PARADING OR DEMONSTRATING IN CAPITOL BUILDING,"PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",89
PARADING OR DEMONSTRATING IN CAPITOL BUILDING,"PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",88
PARADING OR DEMONSTRATING IN CAPITOL BUILDING,"PARADING, DEMONSTRATING OR PICKETING IN A CAPITOL BUILDING",88
"ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS","ASSAULTING, RESISTING, OR IMPEDING CERTIN OFFICERS",99
"ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS","ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS OR EMPLOYEES",88
