charges_list,case_number
" PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",116
 DISORDERLY CONDUCT IN A CAPITOL BUILDING,92
 DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,90
 ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,72
ENTERING AND REMAINING IN A RESTRICTED BUILDING,46
OBSTRUCTION OF AN OFFICIAL PROCEEDING,43
 DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING,43
 VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS,40
 OBSTRUCTION OF AN OFFICIAL PROCEEDING,38
CIVIL DISORDER,37
 VIOLENT ENTRY AND DISORDERLY CONDUCT IN A CAPITOL BUILDING,36
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,35
ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,31
OBSTRUCTION OF AN OFFICIAL PROCEEDING AND AIDING AND ABETTING,27
 DISORDERLY CONDUCT IN A CAPITOL BUILDING,25
 AIDING AND ABETTING,25
CONSPIRACY,24
 DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,24
 ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS,23
 OBSTRUCTION OF AN OFFICIAL PROCEEDING AND AIDING AND ABETTING,23
" PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",22
 ACT OF PHYSICAL VIOLENCE IN THE CAPITOL GROUNDS OR BUILDINGS,22
 ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,19
 CIVIL DISORDER,17
 IMPEDING PASSAGE THROUGH THE CAPITOL GROUNDS OR BUILDINGS,16
" ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS",14
 DESTRUCTION OF GOVERNMENT PROPERTY AND AIDING AND ABETTING,14
 DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,13
" ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS USING A DANGEROUS WEAPON",13
 ENTERING AND REMAINING IN CERTAIN ROOMS IN THE CAPITOL BUILDING,12
 RESTRICTED BUILDING OR GROUNDS,11
 THEFT OF GOVERNMENT PROPERTY,11
 ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS AND CARRYING A DEADLY OR DANGEROUS WEAPON,11
 TAMPERING WITH DOCUMENTS OR PROCEEDINGS,11
 DESTRUCTION OF GOVERNMENT PROPERTY,10
 VIOLENT ENTRY AND DISORDERLY CONDUCT IN A CAPITOL BUILDING,10
"ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS",9
 DISORDERLY CONDUCT WHICH IMPEDES THE CONDUCT OF GOVERNMENT BUSINESS,9
 ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,9
 DISRUPTIVE CONDUCT IN THE CAPITOL BUILDINGS,8
 DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING,8
 ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,8
 KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,8
 OBSTRUCTION OF JUSTICE/CONGRESS,8
" PARADING, DEMONSTRATING, OR PICKETING IN THE CAPITOL BUILDINGS",7
 ENTERING AND REMAINING ON THE FLOOR OF CONGRESS,7
 VIOLENT ENTRY OR DISORDERLY CONDUCT,7
RESTRICTED BUILDING OR GROUNDS,7
 DISORDERLY CONDUCT IN A CAPITOL BUILDING OR GROUNDS,7
 CIVIL DISORDER,6
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS,6
 OBSTRUCTION OF LAW ENFORCEMENT DURING CIVIL DISORDER AND AIDING AND ABETTING,6
 ENTERING AND REMAINING IN A RESTRICTED BUILDING,5
 DISORDERLY CONDUCT ON CAPITOL GROUNDS,5
 OBSTRUCTION OF AN OFFICIAL PROCEEDING AND AIDING AND ABETTING,5
 OBSTRUCTION OF LAW ENFORCEMENT DURING CIVIL DISORDER,5
"ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS USING A DANGEROUS WEAPON",5
 ACT OF PHYSICAL VIOLENCE IN THE CAPITOL GROUNDS OR BUILDINGS,4
 IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS,4
KNOWLINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,4
 ENTERING AND REMAINING IN THE GALLERY OF CONGRESS,4
 DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,4
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS,4
 ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,4
 DISORDERLY CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,4
" PARADING, DEMONSTRATING OR PICKETING IN A CAPITOL BUILDING",3
" OBSTRUCTING, OR IMPEDING PASSAGE THROUGH OR WITHIN, THE GROUNDS OR ANY OF THE CAPITOL BUILDINGS: ENGAGING IN AN ACT OF PHYSICAL VIOLENCE IN THE GROUNDS OR ANY OF THE CAPITOL BUILDINGS",3
 UNLAWFUL ACTIVITIES ON CAPITOL GROUNDS,3
 ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,3
 ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING OR GROUNDS,3
 DISORDERLY CONDUCT,3
 VIOLENT ENTRY AND DISORDERLY CONDUCT,3
 DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,3
" ASSAULTING, RESISTING, OR IMPEDING CERTAIN OFFICERS",3
DESTRUCTION OF GOVERNMENT PROPERTY,3
OBSTRUCTION OF JUSTICE/CONGRESS,2
 ONE COUNT OF THEFT OF GOVERNMENT PROPERTY,2
 CONSPIRACY TO INJURE AN OFFICER,2
 CIVIL DISORDER AND OBSTRUCTING OR IMPEDING ANY OFFICIAL PROCEEDING,2
 UNLAWFUL POSSESSION OF A DANGEROUS WEAPON ON CAPITOL GROUNDS OR BUILDINGS,2
KNOWINGLY ENTERING AND REMAINING ON RESTRICTED GROUNDS WITHOUT LAWFUL AUTHORITY AND/OR ENGAGING IN DISORDERLY CONDUCT WITHIN PROXIMITY TO A RESTRICTED BUILDING TO IMPEDE OFFICIAL FUNCTIONS,2
OBSTRUCTION OF LAW ENFORCEMENT DURING CIVIL DISORDER,2
" VIOLENT ENTRY AND DISORDERLY CONDUCT, ACT OF PHYSICAL VIOLENCE ON CAPITOL GROUNDS",2
ONE COUNT OF KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY,2
THEFT OF GOVERNMENT PROPERTY,2
UNLAWFUL ENTRY ON RESTRICTED BUILDINGS OR GROUNDS,2
 KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS,2
 PARADING AND DEMONSTRATING IN THE CAPITOL BUILDING,2
" PARADING, DEMONSTRATING, OR PICKETING IN CAPITOL",2
ENTERING AND REMAINING IN A RESTRICTED BUILDING,2
" PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING,",2
 KNOWINGLY ENGAGING IN DISORDERLY OR DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,2
" PHYSICAL VIOLENCE ON RESTRICTED GROUNDS, WHILE CARRYING DANGEROUS WEAPON, AND RESULTING IN SIGNIFICANT BODILY INJURY",2
CONSPIRACY OBSTRUCTION OF AN OFFICIAL PROCEEDING AND AIDING AND ABETTING OBSTRUCTION OF LAW ENFORCEMENT DURING CIVIL DISORDER AND AIDING AND ABETTING DESTRUCTION OF GOVERNMENT PROPERTY AND AIDING AND ABETTING ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS DISORDERLY CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,2
 OBSTRUCTION OF AN OFFICIAL PROCEEDING,2
ASSAULT ON FEDERAL OFFICER WITH DANGEROUS WEAPON,2
 ROBBERY OF PERSONAL PROPERTY OF THE UNITED STATES,2
 ACT OF PHYSICAL VIOLENCE IN THE CAPITOL BUILDING,2
 VIOLENT ENTRY AND DISORDERLY CONDUCT IN A CAPITOL BUILDING OR GROUNDS,2
 ENTERING AND REMAINING IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,2
 VIOLENT ENTRY AND DISORDERLY CONDUCT AT THE GROUNDS AND IN A CAPITOL BUILDING,2
 ,2
" STEPPING, CLIMBING, REMOVING, OR INJURING PROPERTY ON THE CAPITOL GROUNDS",2
 ENTERING AND REMAINING IN ARESTRICTED BUILDING OR GROUNDS,2
 DISORDERLLY CONDUCT IN A CAPITOL BUILDING,2
 ENGAGING IN PHYSICAL VIOLENCE IN A RESTRICTED BUILDING WITH A DEADLY OR DANGEROUS WEAPON,2
 GOVERNMENT PROPERTY OR CONTRACTS,2
" DESTRUCTION OF GOVERNMENT PROPERTY EXCEEDING $1,000",2
 AND ONE COUNT OF VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS.,2
" ASSAULTING, RESISTING OR IMPEDING CERTAIN OFFICERS",2
 IMPEDING INGRESS AND EGRESS IN A RESTRICTED BUILDING OR GROUNDS AND AIDING AND ABETTING,2
 ENTERING AND REMAINING IN A RESTRICTED BUILDING WITH A DEADLY OR DANGEROUS WEAPON,2
 DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING AND GROUNDS,2
 DISRUPTING THE ORDERLY CONDUCT OF GOVERNMENT BUSINESS,2
OBSTRUCTION,1
 DISORDERLY AND DISRUPTIVE CONDUCT IN A : RESTRICTED BUILDING OR GROUNDS,1
 DISORDERLY AND DIRSUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS WITH A DEADLY OR DANGEROUS WEAPON,1
OBSTRUCTION OF AN OFFICIAL PROCEEDING UNLAWFULLY ENTERING RESTRICTED BUILDING TO DISRUPT GOVERNMENT DISORDERLY OR DISRUPTIVE CONDUCT ON RESTRICTED GROUNDS,1
OBSTRUCTION OF CONGRESS,1
 INFLICTING BODILY INJURY ON CERTAIN OFFICERS,1
"OBSTRUCT, IMPEDE, OR INTERFERE WITH LAW ENFORCEMENT OFFICER (AIDING AND ABETTING)",1
 DISORDELRY CONDUCT IN A CAPITOL BUILDING,1
OBSTRUCTION OF OFFICIAL PROCEEDINGS ,1
"ONE COUNT OF IMPEDING, OBSTRUCTING, OR INTERFERING WITH A LAW ENFORCEMENT OFFICER DURING THE COMMISSION OF A OF CIVIL DISORDER THAT OBSTRUCTS AN OFFICIAL PROCEEDING",1
 DISORDELRY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,1
POSSESSION OF AN UNREGISTERED FIREARM (DESTRUCTIVE DEVICE) AND CARRYING A PISTOL WITHOUT A LICENSE.,1
" DESTRUCTION OF GOVERNMENT PROPERTY VALUED AT OVER $1,000",1
RESTRICTED BUILDING OR GROUNDS DISRUPTIVE AND DISORDERLY CONDUCT ON RESTRICTED GROUNDS,1
THREATS IN INTERSTATE COMMERCE,1
UNLAWFUL ENTRY IN A RESTRICTED BUILDING OR GROUNDS,1
UNLAWFUL ENTRY OF A RESTRICTED BUILDING,1
UNLAWFUL ENTRY ON RESTRICTED BUILDING OR GROUNDS,1
OBSTRUCTING OF AN OFFICIAL PROCEEDING,1
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING WITHOUT LAWFUL AUTHORITY,1
 DISORDERLY AND DISRUPTIVE CONDUCT IN A CAPITOL BUILDING AND GROUNDS,1
 DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,1
"ENTERING AND REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS DISORDERLY CONDUCT IN A CAPITOL BUILDING PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",1
 DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS,1
ENTERING OR REMAINING IN RESTRICTED BUILDING OR GROUNDS,1
"FORCIBLY ASSAULTED, RESISTED, OPPOSED, IMPEDED, INTIMIDATED, OR INTERFERED WITH A FEDERAL AGENT WHILE THEY ARE ENGAGED IN THEIR OFFICIAL DUTIES",1
"FORCIBLY ASSAULTING, RESISTING, OPPOSING, IMPEDING FEDERAL OFFICERS",1
IMPEDING LAW ENFORCEMENT OFFICER DURING CIVIL DISORDER,1
INTERSTATE COMMUNICATION OF THREATS,1
INTERSTATE THREATS,1
 DISORDERLY AND DISRUPTIVE CONDUCT IN RESTRICTED BUILDING OR GROUNDS,1
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING,1
 DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING WITH A DEADLY OR DANGEROUS WEAPON,1
KNOWINGLY ENTERING OR REMAINING IN ANY RESTRUCTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY DISORDERLY CONDUCT IN RESTRICTED BUILDING OR GROUNDS DISORDERLY CONDUCT ON CAPITOL GROUNDS PARADING OR DEMONSTRATING IN CAPITOL BUILDING,1
"KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS DISORDERLY CONDUCT IN A CAPITOL BUILDING PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING",1
"KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS PARADING, DEMONSTRATING OR PICKETING IN A CAPITOL BUILDING",1
"KNOWINGLY ENTERING OR REMAINING IN ANY RESTRICTED BUILDING OR GROUNDS WITHOUT LAWFUL AUTHORITY DISORDERLY AND DISRUPTIVE CONDUCT IN A RESTRICTED BUILDING OR GROUNDS VIOLENT ENTRY AND DISORDERLY CONDUCT ON CAPITOL GROUNDS PARADING, DEMONSTRATING, OR PICKETING IN A CAPITOL BUILDING IMPEDING OR ATTEMPTING TO IMPEDE LAW ENFORCEMENT OFFICERS PERFORMING OFFICIAL DUTIES OBSTRUCTION OF JUSTICE/CONGRESS",1
