id,address,city,state,zip,phone,latitude,longitude
1505938,1533 E 162ND STREET,SOUTH HOLLAND,IL,60473,(708) 331-7399,41.6014,-87.5796
1506621,ST. RT 6 & BRISBIN RD,MORRIS,IL,60450,(815) 705-9259,41.41571,-88.36556
1506491,5223 FRANKLIN STREET,MICHIGAN CITY,IN,46360,(219) 268-1010,41.672378,-86.894499
1505746,12 W NORTHBROOK DR,DWIGHT,IL,60420,(815) 584-9596,41.113495,-88.415228
1503201,2625 COLUMBUS ST,OTTAWA,IL,61350,(815) 434-8688,41.36952,-88.83652
1501971,1235 S. GREEN BAY,RACINE,WI,53406,(262) 634-0535,42.71807,-87.84589
1506410,400 STEWARD RD,ROCHELLE,IL,61068,(815) 561-1125,41.898054,-89.066725
1506412,100 E. COMMERCE CT,ELKHORN,WI,53121,(262) 723-8888,42.653022,-88.54273
1500660,734 S 11TH ST,NILES,MI,49120,(269) 684-5470,41.81993,-86.24759
1506492,207 W IRELAND RD,SOUTH BEND,IN,46614,(574) 314-1324,41.62931,-86.25281
1506147,2952 GARY DRIVE SUITE 101,PLYMOUTH,IN,46563,(574) 935-3413,41.362311,-86.349196
1506503,4628 S MAIN ST,ROCKFORD,IL,61101,(779) 238-5962,42.21572,-89.10749
1505937,1001 W WALNUT ST,OGLESBY,IL,61348,(815) 883-3691,41.2935,-89.086524
1505520,13477 QUALITY DR,ROSCOE,IL,61073,(815) 389-1925,42.455967,-88.998122
1501203,2450 E LAYTON AVE,SAINT FRANCIS,WI,53235,(414) 744-9690,42.95956,-87.87864
1506490,2620 CASSOPOLIS ST,ELKHART,IN,46514,(574) 359-5326,41.72097,-85.97241
1503775,619 S GALENA ST,DIXON,IL,61021,(815) 288-5221,41.83816,-89.4808
1501208,2328 HUMES RD,JANESVILLE,WI,53545,(608) 757-1557,42.71898,-88.99458
1500932,451 W OTTAWA RD,PAXTON,IL,60957,(217) 379-9903,40.455645,-88.106274
1506315,2201 CR 17,GOSHEN,IN,46528,(574) 389-1739,41.665792,-85.888859
1500560,1520 BUFORD HWY,BUFORD,GA,30518,(770) 945-6397,34.09698,-84.01312
1500518,5259 STONE MOUNTAIN HWY,STONE MOUNTAIN,GA,30087,(770) 469-0345,33.82373,-84.11199
1500839,125 W MAPLE ST,CUMMING,GA,30040,(770) 844-4440,34.20641,-84.1413
1505920,113 N BROAD ST,WINDER,GA,30680,(678) 425-1419,33.99423,-83.71715
1505983,4538 OAKWOOD RD,OAKWOOD,GA,30566,(770) 532-4210,34.22594,-83.86739
1500832,6671 ROSWELL RD NE,SANDY SPRINGS,GA,30328,(404) 303-7817,33.93666,-84.37729
1500368,315 S BROAD ST,MONROE,GA,30655,(770) 267-5700,33.79127,-83.71217
