"数据年月"	,"商品编码"	,"商品名称"	,"贸易伙伴编码"	,"贸易伙伴名称"	,"注册地编码"	,"注册地名称"	,"第一数量"	,"第一计量单位"	,"第二数量"	,"第二计量单位"	,"美元"	,
"201701	"	,"07129099	"	,"未列名干蔬菜及什锦蔬菜	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"22050	"	,"千克	"	,"0	"	,"?	"	,"114,660	"	,
"201701	"	,"08021100	"	,"未去壳扁桃仁	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"90	"	,"千克	"	,"0	"	,"?	"	,"450	"	,
"201701	"	,"08023100	"	,"未去壳核桃	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"98	"	,"千克	"	,"0	"	,"?	"	,"490	"	,
"201701	"	,"08042000	"	,"鲜或干的无花果	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"96	"	,"千克	"	,"0	"	,"?	"	,"576	"	,
"201701	"	,"08062000	"	,"葡萄干	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"186	"	,"千克	"	,"0	"	,"?	"	,"1,020	"	,
"201701	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"251020	"	,"千克	"	,"0	"	,"?	"	,"540,330	"	,
"201702	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"122080	"	,"千克	"	,"0	"	,"?	"	,"279,040	"	,
"201703	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"105553	"	,"千克	"	,"0	"	,"?	"	,"241,264	"	,
"201704	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"35245	"	,"千克	"	,"0	"	,"?	"	,"80,560	"	,
"201709	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"173544	"	,"千克	"	,"0	"	,"?	"	,"372,456	"	,
"201710	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"70560	"	,"千克	"	,"0	"	,"?	"	,"168,840	"	,
"201711	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"123480	"	,"千克	"	,"0	"	,"?	"	,"272,160	"	,
"201712	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"105000	"	,"千克	"	,"0	"	,"?	"	,"220,200	"	,
"201701	"	,"08134030	"	,"红枣	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"494	"	,"千克	"	,"0	"	,"?	"	,"2,470	"	,
"201701	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"243201	"	,"千克	"	,"0	"	,"?	"	,"464,692	"	,
"201702	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"195926	"	,"千克	"	,"0	"	,"?	"	,"402,532	"	,
"201703	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"173650	"	,"千克	"	,"0	"	,"?	"	,"350,955	"	,
"201704	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"111500	"	,"千克	"	,"0	"	,"?	"	,"211,033	"	,
"201705	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"242295	"	,"千克	"	,"0	"	,"?	"	,"482,314	"	,
"201706	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"289220	"	,"千克	"	,"0	"	,"?	"	,"550,080	"	,
"201707	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"133197	"	,"千克	"	,"0	"	,"?	"	,"249,433	"	,
"201708	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"213708	"	,"千克	"	,"0	"	,"?	"	,"443,285	"	,
"201709	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"275024	"	,"千克	"	,"0	"	,"?	"	,"524,216	"	,
"201710	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"169378	"	,"千克	"	,"0	"	,"?	"	,"334,588	"	,
"201711	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"151822	"	,"千克	"	,"0	"	,"?	"	,"301,584	"	,
"201712	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"208934	"	,"千克	"	,"0	"	,"?	"	,"431,014	"	,
"201701	"	,"12060090	"	,"其他葵花子	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"18144	"	,"千克	"	,"0	"	,"?	"	,"20,111	"	,
"201702	"	,"12060090	"	,"其他葵花子	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"18144	"	,"千克	"	,"0	"	,"?	"	,"20,021	"	,
"201703	"	,"12060090	"	,"其他葵花子	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"36288	"	,"千克	"	,"0	"	,"?	"	,"40,882	"	,
"201711	"	,"12077010	"	,"种用甜瓜子	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"87	"	,"千克	"	,"0	"	,"?	"	,"24,300	"	,
"201712	"	,"12077010	"	,"种用甜瓜子	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"60	"	,"千克	"	,"0	"	,"?	"	,"19,082	"	,
"201701	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"125000	"	,"千克	"	,"0	"	,"?	"	,"158,750	"	,
"201702	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"50000	"	,"千克	"	,"0	"	,"?	"	,"63,500	"	,
"201703	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"50400	"	,"千克	"	,"0	"	,"?	"	,"79,128	"	,
"201704	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"226800	"	,"千克	"	,"0	"	,"?	"	,"356,076	"	,
"201705	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"176400	"	,"千克	"	,"0	"	,"?	"	,"276,948	"	,
"201706	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"50400	"	,"千克	"	,"0	"	,"?	"	,"79,128	"	,
"201707	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"126000	"	,"千克	"	,"0	"	,"?	"	,"197,820	"	,
"201708	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"126000	"	,"千克	"	,"0	"	,"?	"	,"197,820	"	,
"201709	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"50400	"	,"千克	"	,"0	"	,"?	"	,"79,128	"	,
"201711	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"49700	"	,"千克	"	,"0	"	,"?	"	,"78,029	"	,
"201705	"	,"12099100	"	,"蔬菜种子	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"79	"	,"千克	"	,"0	"	,"?	"	,"2,773	"	,
"201712	"	,"12099100	"	,"蔬菜种子	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"150	"	,"千克	"	,"0	"	,"?	"	,"6,000	"	,
"201701	"	,"12119015	"	,"菊花	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"102	"	,"千克	"	,"0	"	,"?	"	,"1,020	"	,
"201701	"	,"12119031	"	,"枸杞	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"99	"	,"千克	"	,"0	"	,"?	"	,"594	"	,
"201701	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"4400	"	,"千克	"	,"0	"	,"?	"	,"23,979	"	,
"201702	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"23520	"	,"千克	"	,"0	"	,"?	"	,"159,936	"	,
"201703	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"24500	"	,"千克	"	,"0	"	,"?	"	,"166,600	"	,
"201704	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"23520	"	,"千克	"	,"0	"	,"?	"	,"162,063	"	,
"201705	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"37791	"	,"千克	"	,"0	"	,"?	"	,"264,636	"	,
"201706	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"2479	"	,"千克	"	,"0	"	,"?	"	,"21,867	"	,
"201708	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"18000	"	,"千克	"	,"0	"	,"?	"	,"121,579	"	,
"201709	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"1300	"	,"千克	"	,"0	"	,"?	"	,"7,149	"	,
"201710	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"1000	"	,"千克	"	,"0	"	,"?	"	,"10,300	"	,
"201711	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"4000	"	,"千克	"	,"0	"	,"?	"	,"19,999	"	,
"201703	"	,"13021300	"	,"啤酒花液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"27354	"	,"千克	"	,"0	"	,"?	"	,"587,160	"	,
"201711	"	,"15159090	"	,"未列名固定植物油、脂及其分离品	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"320	"	,"千克	"	,"0	"	,"?	"	,"12,800	"	,
"201701	"	,"20029011	"	,"番茄酱罐头重量≤5kg	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"38934	"	,"千克	"	,"0	"	,"?	"	,"23,771	"	,
"201702	"	,"20029011	"	,"番茄酱罐头重量≤5kg	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"19116	"	,"千克	"	,"0	"	,"?	"	,"11,671	"	,
"201703	"	,"20029011	"	,"番茄酱罐头重量≤5kg	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"56844	"	,"千克	"	,"0	"	,"?	"	,"34,358	"	,
"201704	"	,"20029011	"	,"番茄酱罐头重量≤5kg	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"19116	"	,"千克	"	,"0	"	,"?	"	,"11,671	"	,
"201710	"	,"20029011	"	,"番茄酱罐头重量≤5kg	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"90720	"	,"千克	"	,"0	"	,"?	"	,"55,440	"	,
"201711	"	,"20029011	"	,"番茄酱罐头重量≤5kg	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"110339	"	,"千克	"	,"0	"	,"?	"	,"80,224	"	,
"201712	"	,"20029011	"	,"番茄酱罐头重量≤5kg	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"148624	"	,"千克	"	,"0	"	,"?	"	,"91,887	"	,
"201701	"	,"20029019	"	,"番茄酱罐头重量＞5kg	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"19373	"	,"千克	"	,"0	"	,"?	"	,"15,595	"	,
"201706	"	,"20029090	"	,"其他非醋方法制作或保藏的绞碎番茄	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"19200	"	,"千克	"	,"0	"	,"?	"	,"61,272	"	,
"201708	"	,"20029090	"	,"其他非醋方法制作或保藏的绞碎番茄	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"17160	"	,"千克	"	,"0	"	,"?	"	,"50,331	"	,
"201709	"	,"20029090	"	,"其他非醋方法制作或保藏的绞碎番茄	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"30000	"	,"千克	"	,"0	"	,"?	"	,"95,570	"	,
"201710	"	,"20029090	"	,"其他非醋方法制作或保藏的绞碎番茄	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"15000	"	,"千克	"	,"0	"	,"?	"	,"48,320	"	,
"201711	"	,"20029090	"	,"其他非醋方法制作或保藏的绞碎番茄	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"15000	"	,"千克	"	,"0	"	,"?	"	,"48,320	"	,
"201701	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"375510	"	,"千克	"	,"0	"	,"?	"	,"334,203	"	,
"201702	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"73189	"	,"千克	"	,"0	"	,"?	"	,"65,327	"	,
"201703	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"309494	"	,"千克	"	,"0	"	,"?	"	,"276,001	"	,
"201704	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"254813	"	,"千克	"	,"0	"	,"?	"	,"227,335	"	,
"201705	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"320420	"	,"千克	"	,"0	"	,"?	"	,"284,617	"	,
"201706	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"389581	"	,"千克	"	,"0	"	,"?	"	,"338,293	"	,
"201707	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"108515	"	,"千克	"	,"0	"	,"?	"	,"96,578	"	,
"201708	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"161759	"	,"千克	"	,"0	"	,"?	"	,"143,966	"	,
"201709	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"388387	"	,"千克	"	,"0	"	,"?	"	,"351,050	"	,
"201710	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"467804	"	,"千克	"	,"0	"	,"?	"	,"421,802	"	,
