"数据年月"	,"贸易伙伴编码"	,"贸易伙伴名称"	,"注册地编码"	,"注册地名称"	,"商品编码"	,"商品名称"	,"第一数量"	,"第一计量单位"	,"第二数量"	,"第二计量单位"	,"美元"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"08023100	"	,"未去壳核桃	"	,"11085	"	,"千克	"	,"0	"	,"?	"	,"37,239	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"08023200	"	,"核桃仁	"	,"1000	"	,"千克	"	,"0	"	,"?	"	,"5,230	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"08083020	"	,"鲜香梨	"	,"129899	"	,"千克	"	,"0	"	,"?	"	,"246,543	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"08083020	"	,"鲜香梨	"	,"92785	"	,"千克	"	,"0	"	,"?	"	,"159,060	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"08083020	"	,"鲜香梨	"	,"74228	"	,"千克	"	,"0	"	,"?	"	,"127,248	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"08083020	"	,"鲜香梨	"	,"185570	"	,"千克	"	,"0	"	,"?	"	,"304,866	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"08083020	"	,"鲜香梨	"	,"74228	"	,"千克	"	,"0	"	,"?	"	,"123,669	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"08083020	"	,"鲜香梨	"	,"18557	"	,"千克	"	,"0	"	,"?	"	,"31,812	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"08134030	"	,"红枣	"	,"980	"	,"千克	"	,"0	"	,"?	"	,"7,600	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"08134030	"	,"红枣	"	,"3000	"	,"千克	"	,"0	"	,"?	"	,"8,198	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"08134030	"	,"红枣	"	,"7000	"	,"千克	"	,"0	"	,"?	"	,"17,658	"	,
"202101	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"09042200	"	,"已磨的辣椒	"	,"219792	"	,"千克	"	,"0	"	,"?	"	,"429,228	"	,
"202102	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"09042200	"	,"已磨的辣椒	"	,"361580	"	,"千克	"	,"0	"	,"?	"	,"710,358	"	,
"202103	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"09042200	"	,"已磨的辣椒	"	,"180198	"	,"千克	"	,"0	"	,"?	"	,"350,616	"	,
"202104	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"09042200	"	,"已磨的辣椒	"	,"152941	"	,"千克	"	,"0	"	,"?	"	,"289,981	"	,
"202105	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"09042200	"	,"已磨的辣椒	"	,"89235	"	,"千克	"	,"0	"	,"?	"	,"170,181	"	,
"202106	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"09042200	"	,"已磨的辣椒	"	,"113729	"	,"千克	"	,"0	"	,"?	"	,"214,941	"	,
"202107	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"09042200	"	,"已磨的辣椒	"	,"93812	"	,"千克	"	,"0	"	,"?	"	,"179,550	"	,
"202108	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"09042200	"	,"已磨的辣椒	"	,"45504	"	,"千克	"	,"0	"	,"?	"	,"86,466	"	,
"202109	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"09042200	"	,"已磨的辣椒	"	,"93812	"	,"千克	"	,"0	"	,"?	"	,"181,365	"	,
