"数据年月"	,"商品编码"	,"商品名称"	,"贸易伙伴编码"	,"贸易伙伴名称"	,"注册地编码"	,"注册地名称"	,"第一数量"	,"第一计量单位"	,"第二数量"	,"第二计量单位"	,"美元"	,
"202008	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"19264	"	,"千克	"	,"0	"	,"?	"	,"30,272	"	,
"202009	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"157437	"	,"千克	"	,"0	"	,"?	"	,"292,621	"	,
"202010	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"59269	"	,"千克	"	,"0	"	,"?	"	,"114,305	"	,
"202011	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"98042	"	,"千克	"	,"0	"	,"?	"	,"205,830	"	,
"202012	"	,"08083020	"	,"鲜香梨	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"148456	"	,"千克	"	,"0	"	,"?	"	,"318,120	"	,
"202006	"	,"08134030	"	,"红枣	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"101	"	,"千克	"	,"0	"	,"?	"	,"127	"	,
"202001	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"152995	"	,"千克	"	,"0	"	,"?	"	,"295,616	"	,
"202002	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"252036	"	,"千克	"	,"0	"	,"?	"	,"494,375	"	,
"202003	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"215544	"	,"千克	"	,"0	"	,"?	"	,"419,323	"	,
"202004	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"289574	"	,"千克	"	,"0	"	,"?	"	,"574,013	"	,
"202005	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"230859	"	,"千克	"	,"0	"	,"?	"	,"463,749	"	,
"202006	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"107631	"	,"千克	"	,"0	"	,"?	"	,"214,531	"	,
"202007	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"105723	"	,"千克	"	,"0	"	,"?	"	,"206,154	"	,
"202008	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"144419	"	,"千克	"	,"0	"	,"?	"	,"277,032	"	,
"202009	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"219640	"	,"千克	"	,"0	"	,"?	"	,"440,362	"	,
"202010	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"44971	"	,"千克	"	,"0	"	,"?	"	,"88,278	"	,
"202011	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"129537	"	,"千克	"	,"0	"	,"?	"	,"250,366	"	,
"202012	"	,"09042200	"	,"已磨的辣椒	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"216772	"	,"千克	"	,"0	"	,"?	"	,"435,619	"	,
"202001	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"75600	"	,"千克	"	,"0	"	,"?	"	,"125,496	"	,
"202002	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"75600	"	,"千克	"	,"0	"	,"?	"	,"125,496	"	,
"202005	"	,"12089000	"	,"其他含油子仁或果实细粉及粗粉,芥子粉除外	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"126000	"	,"千克	"	,"0	"	,"?	"	,"202,860	"	,
"202001	"	,"12129999	"	,"未列名食用植物产品	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"16025	"	,"千克	"	,"0	"	,"?	"	,"50,840	"	,
"202004	"	,"12129999	"	,"未列名食用植物产品	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"17000	"	,"千克	"	,"0	"	,"?	"	,"55,760	"	,
"202005	"	,"12129999	"	,"未列名食用植物产品	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"16500	"	,"千克	"	,"0	"	,"?	"	,"54,926	"	,
"202006	"	,"12129999	"	,"未列名食用植物产品	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"16500	"	,"千克	"	,"0	"	,"?	"	,"54,431	"	,
"202008	"	,"12129999	"	,"未列名食用植物产品	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"4000	"	,"千克	"	,"0	"	,"?	"	,"11,720	"	,
"202009	"	,"12129999	"	,"未列名食用植物产品	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"16500	"	,"千克	"	,"0	"	,"?	"	,"50,214	"	,
"202002	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20000	"	,"千克	"	,"0	"	,"?	"	,"115,800	"	,
"202003	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"20300	"	,"千克	"	,"0	"	,"?	"	,"119,086	"	,
"202004	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"22500	"	,"千克	"	,"0	"	,"?	"	,"129,239	"	,
"202005	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"23000	"	,"千克	"	,"0	"	,"?	"	,"131,789	"	,
"202006	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"11000	"	,"千克	"	,"0	"	,"?	"	,"63,690	"	,
"202008	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"10000	"	,"千克	"	,"0	"	,"?	"	,"57,900	"	,
"202009	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"39400	"	,"千克	"	,"0	"	,"?	"	,"249,000	"	,
"202012	"	,"13021200	"	,"甘草液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"2000	"	,"千克	"	,"0	"	,"?	"	,"10,190	"	,
"202004	"	,"13021300	"	,"啤酒花液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"30000	"	,"千克	"	,"0	"	,"?	"	,"960,660	"	,
"202001	"	,"13021990	"	,"其他植物液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"500	"	,"千克	"	,"0	"	,"?	"	,"68,194	"	,
"202006	"	,"13021990	"	,"其他植物液汁及浸膏	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"500	"	,"千克	"	,"0	"	,"?	"	,"63,500	"	,
"202001	"	,"20029019	"	,"番茄酱罐头重量＞5kg	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"4720	"	,"千克	"	,"0	"	,"?	"	,"4,772	"	,
"202003	"	,"20029019	"	,"番茄酱罐头重量＞5kg	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"9458	"	,"千克	"	,"0	"	,"?	"	,"7,377	"	,
"202002	"	,"20029090	"	,"其他非醋方法制作或保藏的绞碎番茄	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"15000	"	,"千克	"	,"0	"	,"?	"	,"45,485	"	,
"202004	"	,"20029090	"	,"其他非醋方法制作或保藏的绞碎番茄	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"30000	"	,"千克	"	,"0	"	,"?	"	,"91,260	"	,
"202005	"	,"20029090	"	,"其他非醋方法制作或保藏的绞碎番茄	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"15000	"	,"千克	"	,"0	"	,"?	"	,"45,640	"	,
"202001	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"222125	"	,"千克	"	,"0	"	,"?	"	,"191,027	"	,
"202002	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"258633	"	,"千克	"	,"0	"	,"?	"	,"218,376	"	,
"202003	"	,"20079910	"	,"非柑桔属水果制果酱、果冻、果泥及果膏罐头	"	,"502	"	,"美国	"	,"65	"	,"新疆维吾尔自治区	"	,"512271	"	,"千克	"	,"0	"	,"?	"	,"438,530	"	,
