measure_name,datum,country_id,country_name,county_id,region_id,region,state_id,state_name,first_year,last_year,footnotes,sources
"Average annual no. of abortions per 1,000 women aged 15–49",9,AL,Albania,0,0,,NULL,0001-01-19,2015,2019,,"Bearak J et al., Country-specific estimates of unintended pregnancy and abortion incidence: a global comparative analysis of levels in 2015–2019, <i>BMJ Global Health</i>, 2022, 7(3), <a href=""https://gh.bmj.com/content/7/3/e007151"">https://gh.bmj.com/content/7/3/e007151</a>., Bearak J et al."
"Average annual no. of abortions per 1,000 women aged 15–49",33,AO,Angola,0,0,,NULL,0001-01-19,2015,2019,,"Bearak J et al., Country-specific estimates of unintended pregnancy and abortion incidence: a global comparative analysis of levels in 2015–2019, <i>BMJ Global Health</i>, 2022, 7(3), <a href=""https://gh.bmj.com/content/7/3/e007151"">https://gh.bmj.com/content/7/3/e007151</a>., Bearak J et al."
"Average annual no. of abortions per 1,000 women aged 15–49",33,AR,Argentina,0,0,,NULL,0001-01-19,2015,2019,,"Bearak J et al., Country-specific estimates of unintended pregnancy and abortion incidence: a global comparative analysis of levels in 2015–2019, <i>BMJ Global Health</i>, 2022, 7(3), <a href=""https://gh.bmj.com/content/7/3/e007151"">https://gh.bmj.com/content/7/3/e007151</a>., Bearak J et al."
"Average annual no. of abortions per 1,000 women aged 15–49",43,AM,Armenia,0,0,,NULL,0001-01-19,2015,2019,,"Bearak J et al., Country-specific estimates of unintended pregnancy and abortion incidence: a global comparative analysis of levels in 2015–2019, <i>BMJ Global Health</i>, 2022, 7(3), <a href=""https://gh.bmj.com/content/7/3/e007151"">https://gh.bmj.com/content/7/3/e007151</a>., Bearak J et al."
"Average annual no. of abortions per 1,000 women aged 15–49",16,AU,Australia,0,0,,NULL,0001-01-19,2015,2019,,"Bearak J et al., Country-specific estimates of unintended pregnancy and abortion incidence: a global comparative analysis of levels in 2015–2019, <i>BMJ Global Health</i>, 2022, 7(3), <a href=""https://gh.bmj.com/content/7/3/e007151"">https://gh.bmj.com/content/7/3/e007151</a>., Bearak J et al."
"Average annual no. of abortions per 1,000 women aged 15–49",72,AZ,Azerbaijan,0,0,,NULL,0001-01-19,2015,2019,,"Bearak J et al., Country-specific estimates of unintended pregnancy and abortion incidence: a global comparative analysis of levels in 2015–2019, <i>BMJ Global Health</i>, 2022, 7(3), <a href=""https://gh.bmj.com/content/7/3/e007151"">https://gh.bmj.com/content/7/3/e007151</a>., Bearak J et al."
"Average annual no. of abortions per 1,000 women aged 15–49",35,BD,Bangladesh,0,0,,NULL,0001-01-19,2015,2019,,"Bearak J et al., Country-specific estimates of unintended pregnancy and abortion incidence: a global comparative analysis of levels in 2015–2019, <i>BMJ Global Health</i>, 2022, 7(3), <a href=""https://gh.bmj.com/content/7/3/e007151"">https://gh.bmj.com/content/7/3/e007151</a>., Bearak J et al."
"Average annual no. of abortions per 1,000 women aged 15–49",45,BB,Barbados,0,0,,NULL,0001-01-19,2015,2019,,"Bearak J et al., Country-specific estimates of unintended pregnancy and abortion incidence: a global comparative analysis of levels in 2015–2019, <i>BMJ Global Health</i>, 2022, 7(3), <a href=""https://gh.bmj.com/content/7/3/e007151"">https://gh.bmj.com/content/7/3/e007151</a>., Bearak J et al."
"Average annual no. of abortions per 1,000 women aged 15–49",10,BY,Belarus,0,0,,NULL,0001-01-19,2015,2019,,"Bearak J et al., Country-specific estimates of unintended pregnancy and abortion incidence: a global comparative analysis of levels in 2015–2019, <i>BMJ Global Health</i>, 2022, 7(3), <a href=""https://gh.bmj.com/content/7/3/e007151"">https://gh.bmj.com/content/7/3/e007151</a>., Bearak J et al."
"Average annual no. of abortions per 1,000 women aged 15–49",8,BE,Belgium,0,0,,NULL,0001-01-19,2015,2019,,"Bearak J et al., Country-specific estimates of unintended pregnancy and abortion incidence: a global comparative analysis of levels in 2015–2019, <i>BMJ Global Health</i>, 2022, 7(3), <a href=""https://gh.bmj.com/content/7/3/e007151"">https://gh.bmj.com/content/7/3/e007151</a>., Bearak J et al."
"Average annual no. of abortions per 1,000 women aged 15–49",32,BZ,Belize,0,0,,NULL,0001-01-19,2015,2019,,"Bearak J et al., Country-specific estimates of unintended pregnancy and abortion incidence: a global comparative analysis of levels in 2015–2019, <i>BMJ Global Health</i>, 2022, 7(3), <a href=""https://gh.bmj.com/content/7/3/e007151"">https://gh.bmj.com/content/7/3/e007151</a>., Bearak J et al."
"Average annual no. of abortions per 1,000 women aged 15–49",32,BJ,Benin,0,0,,NULL,0001-01-19,2015,2019,,"Bearak J et al., Country-specific estimates of unintended pregnancy and abortion incidence: a global comparative analysis of levels in 2015–2019, <i>BMJ Global Health</i>, 2022, 7(3), <a href=""https://gh.bmj.com/content/7/3/e007151"">https://gh.bmj.com/content/7/3/e007151</a>., Bearak J et al."
