,iso,name,category,abortion_rights_high,abortion_rights_low,abortion_rights_text,Entity,Code,Year,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
0,AFG,Afghanistan,1349,2,4,Permitted to protect life of pregnant person,Afghanistan,AFG,2017.0,638.0
1,ALB,Albania,1352,5,1,Permitted with varying gestational limits,Albania,ALB,2017.0,15.0
2,DZA,Algeria,1350,3,3,Permitted to protect health,Algeria,DZA,2017.0,112.0
3,AND,Andorra,1348,1,5,Prohibited broadly,,,,
4,AGO,Angola,1350,3,3,Permitted to protect health,Angola,AGO,2017.0,241.0
5,ATG,Antigua & Barbuda,1349,2,4,Permitted to protect life of pregnant person,Antigua and Barbuda,ATG,2017.0,42.0
6,ARG,Argentina,1352,5,1,Permitted with varying gestational limits,Argentina,ARG,2017.0,39.0
7,ARM,Armenia,1352,5,1,Permitted with varying gestational limits,Armenia,ARM,2017.0,26.0
8,AUS,Australia,1352,5,1,Permitted with varying gestational limits,Australia,AUS,2017.0,6.0
9,AUT,Austria,1352,5,1,Permitted with varying gestational limits,Austria,AUT,2017.0,5.0
10,AZE,Azerbaijan,1352,5,1,Permitted with varying gestational limits,Azerbaijan,AZE,2017.0,26.0
11,BHS,Bahamas,1350,3,3,Permitted to protect health,Bahamas,BHS,2017.0,70.0
12,BHR,Bahrain,1349,2,4,Permitted to protect life of pregnant person,Bahrain,BHR,2017.0,14.0
13,BGD,Bangladesh,1349,2,4,Permitted to protect life of pregnant person,Bangladesh,BGD,2017.0,173.0
14,BRB,Barbados,1351,4,2,Permitted under broad socioeconomic grounds,Barbados,BRB,2017.0,27.0
15,BLR,Belarus,1352,5,1,Permitted with varying gestational limits,Belarus,BLR,2017.0,2.0
16,BEL,Belgium,1352,5,1,Permitted with varying gestational limits,Belgium,BEL,2017.0,5.0
17,BLZ,Belize,1351,4,2,Permitted under broad socioeconomic grounds,Belize,BLZ,2017.0,36.0
18,BEN,Benin,1352,5,1,Permitted with varying gestational limits,Benin,BEN,2017.0,397.0
19,BTN,Bhutan,1349,2,4,Permitted to protect life of pregnant person,Bhutan,BTN,2017.0,183.0
20,BOL,Bolivia,1350,3,3,Permitted to protect health,Bolivia,BOL,2017.0,155.0
21,BIH,Bosnia-Herzegovina,1352,5,1,Permitted with varying gestational limits,Bosnia and Herzegovina,BIH,2017.0,10.0
22,BWA,Botswana,1350,3,3,Permitted to protect health,Botswana,BWA,2017.0,144.0
23,BRA,Brazil,1349,2,4,Permitted to protect life of pregnant person,Brazil,BRA,2017.0,60.0
24,BRN,Brunei Darussalam,1349,2,4,Permitted to protect life of pregnant person,Brunei,BRN,2017.0,31.0
25,BGR,Bulgaria,1352,5,1,Permitted with varying gestational limits,Bulgaria,BGR,2017.0,10.0
26,BFA,Burkina Faso,1350,3,3,Permitted to protect health,Burkina Faso,BFA,2017.0,320.0
27,BDI,Burundi,1350,3,3,Permitted to protect health,Burundi,BDI,2017.0,548.0
28,KHM,Cambodia,1352,5,1,Permitted with varying gestational limits,Cambodia,KHM,2017.0,160.0
29,CMR,Cameroon,1350,3,3,Permitted to protect health,Cameroon,CMR,2017.0,529.0
30,CAN,Canada,1352,5,1,Permitted with varying gestational limits,Canada,CAN,2017.0,10.0
31,CPV,Cape Verde,1352,5,1,Permitted with varying gestational limits,Cape Verde,CPV,2017.0,58.0
32,CAF,Central African Republic,1350,3,3,Permitted to protect health,Central African Republic,CAF,2017.0,829.0
33,TCD,Chad,1350,3,3,Permitted to protect health,Chad,TCD,2017.0,1140.0
34,CHL,Chile,1349,2,4,Permitted to protect life of pregnant person,Chile,CHL,2017.0,13.0
35,CHN,China,1352,5,1,Permitted with varying gestational limits,China,CHN,2017.0,29.0
36,COL,Colombia,1352,5,1,Permitted with varying gestational limits,Colombia,COL,2017.0,83.0
37,COM,Comoros,1350,3,3,Permitted to protect health,Comoros,COM,2017.0,273.0
38,COG,Congo (Brazzaville),1348,1,5,Prohibited broadly,Congo,COG,2017.0,378.0
39,CRI,Costa Rica,1350,3,3,Permitted to protect health,Costa Rica,CRI,2017.0,27.0
40,CIV,Côte d'Ivoire,1349,2,4,Permitted to protect life of pregnant person,Cote d'Ivoire,CIV,2017.0,617.0
41,HRV,Croatia,1352,5,1,Permitted with varying gestational limits,Croatia,HRV,2017.0,8.0
42,CUB,Cuba,1352,5,1,Permitted with varying gestational limits,Cuba,CUB,2017.0,36.0
43,CYP,Cyprus,1352,5,1,Permitted with varying gestational limits,Cyprus,CYP,2017.0,6.0
44,CZE,Czech Republic,1352,5,1,Permitted with varying gestational limits,Czechia,CZE,2017.0,3.0
45,PRK,Dem. People’s Rep. of Korea,1352,5,1,Permitted with varying gestational limits,North Korea,PRK,2017.0,89.0
46,COD,Democratic Republic of the Congo,1350,3,3,Permitted to protect health,Democratic Republic of Congo,COD,2017.0,473.0
47,DNK,Denmark,1352,5,1,Permitted with varying gestational limits,Denmark,DNK,2017.0,4.0
48,DJI,Djibouti,1350,3,3,Permitted to protect health,Djibouti,DJI,2017.0,248.0
49,DMA,Dominica,1349,2,4,Permitted to protect life of pregnant person,,,,
50,DOM,Dominican Republic,1348,1,5,Prohibited broadly,Dominican Republic,DOM,2017.0,95.0
51,ECU,Ecuador,1350,3,3,Permitted to protect health,Ecuador,ECU,2017.0,59.0
52,EGY,Egypt,1348,1,5,Prohibited broadly,Egypt,EGY,2017.0,37.0
53,SLV,El Salvador,1348,1,5,Prohibited broadly,El Salvador,SLV,2017.0,46.0
54,GNQ,Equatorial Guinea,1350,3,3,Permitted to protect health,Equatorial Guinea,GNQ,2017.0,301.0
55,ERI,Eritrea,1350,3,3,Permitted to protect health,Eritrea,ERI,2017.0,480.0
56,EST,Estonia,1352,5,1,Permitted with varying gestational limits,Estonia,EST,2017.0,9.0
57,SWZ,Eswatini,1350,3,3,Permitted to protect health,Eswatini,SWZ,2017.0,437.0
58,ETH,Ethiopia,1351,4,2,Permitted under broad socioeconomic grounds,Ethiopia,ETH,2017.0,401.0
59,FJI,Fiji,1351,4,2,Permitted under broad socioeconomic grounds,Fiji,FJI,2017.0,34.0
60,FIN,Finland,1351,4,2,Permitted under broad socioeconomic grounds,Finland,FIN,2017.0,3.0
61,FRA,France,1352,5,1,Permitted with varying gestational limits,France,FRA,2017.0,8.0
62,GUF,French Guiana,1352,5,1,Permitted with varying gestational limits,,,,
63,ATF,French Southern and Antarctic Lands,,0,0,0,,,,
64,GAB,Gabon,1349,2,4,Permitted to protect life of pregnant person,Gabon,GAB,2017.0,252.0
65,GMB,Gambia,1349,2,4,Permitted to protect life of pregnant person,Gambia,GMB,2017.0,597.0
66,GEO,Georgia,1352,5,1,Permitted with varying gestational limits,Georgia,GEO,2017.0,25.0
