countryname,iso,cat_num,Var1Class,gii,civil liberties,social rights/equality,democracy_cat,democracy_catnum,maternal mortality
Albania,ALB,1,C,0.181,0.706608008,0.551188481,Weak democracy,3,15
Argentina,ARG,1,C,0.328,0.832642532,0.648560502,Mid-range performing democracy,2,39
Armenia,ARM,1,C,0.245,0.746590019,0.601268048,Weak democracy,3,26
Australia,AUS,1,C,0.097,0.833802993,0.821563599,High performing democracy,1,6
Austria,AUT,1,C,0.069,0.852710358,0.765504485,High performing democracy,1,5
Azerbaijan,AZE,1,C,0.323,0.418582606,0.364628317,Authoritarian Regime,5,26
Belarus,BLR,1,C,0.118,0.314499617,0.668128179,Authoritarian Regime,5,2
Belgium,BEL,1,C,0.043,0.86777616,0.839450103,High performing democracy,1,5
Bosnia and Herzegovina,BIH,1,C,0.149,0.627724464,0.482935103,Weak democracy,3,10
Bulgaria,BGR,1,C,0.206,0.684224566,0.643012043,Mid-range performing democracy,2,10
Cambodia,KHM,1,C,0.474,0.440855326,0.31362389,Authoritarian Regime,5,160
Canada,CAN,1,C,0.08,0.889673479,0.728331296,Mid-range performing democracy,2,10
Cabo Verde,CPV,1,C,0.397,0.808219071,0.523545026,Mid-range performing democracy,2,58
China,CHN,1,C,0.168,0.269289716,0.449684855,Authoritarian Regime,5,29
Croatia,HRV,1,C,0.116,0.710881102,0.586794816,Mid-range performing democracy,2,8
Cuba,CUB,1,C,0.304,0.324109415,0.605952419,Authoritarian Regime,5,36
Cyprus,CYP,1,C,0.086,0.806163222,0.671484698,Mid-range performing democracy,2,6
Czechia,CZE,1,C,0.136,0.853603714,0.771178508,Mid-range performing democracy,2,3
Dem. People’s Rep. of Korea,PRK,1,C,,,,,,89
Denmark,DNK,1,C,0.038,0.903682589,0.94054403,High performing democracy,1,4
Estonia,EST,1,C,0.086,0.907647841,0.75056699,Mid-range performing democracy,2,9
France,FRA,1,C,0.049,0.805902051,0.724521964,High performing democracy,1,8
French Guiana,GUF,1,C,,,,,,
Georgia,GEO,1,C,0.331,0.714725259,0.630626889,Mid-range performing democracy,2,25
Germany,DEU,1,C,0.084,0.841851824,0.92532042,High performing democracy,1,7
Greece,GRC,1,C,0.116,0.785563115,0.699542105,Mid-range performing democracy,2,3
Guinea-Bissau,GNB,1,C,,0.630146018,0.361095266,Weak democracy,3,667
Guyana,GUY,1,C,0.462,,,,,169
Hungary,HUN,1,C,0.233,0.653259073,0.619835713,Mid-range performing democracy,2,12
Iceland,ISL,1,C,0.058,0.904881063,0.731757217,High performing democracy,1,4
Ireland,IRL,1,C,0.093,0.92718902,0.767744025,High performing democracy,1,5
Italy,ITA,1,C,0.069,0.834588569,0.82681328,Mid-range performing democracy,2,2
Kazakhstan,KAZ,1,C,0.19,0.462943897,0.473837025,Authoritarian Regime,5,10
Kosovo,,1,C,0.204,0.680829347,0.472557277,Mid-range performing democracy,2,
Kyrgyzstan,KGZ,1,C,0.369,0.574596413,0.461881048,Hybrid Regime,4,60
Latvia,LVA,1,C,0.176,0.871419743,0.813708382,Mid-range performing democracy,2,19
Lithuania,LTU,1,C,0.124,0.780947116,0.791904561,Mid-range performing democracy,2,8
Luxembourg,LUX,1,C,0.065,0.809802017,0.779479618,Mid-range performing democracy,2,5
Maldives,MDV,1,C,0.369,,,,,53
Moldova,MDA,1,C,,0.655328538,0.562978425,Mid-range performing democracy,2,19
Mongolia,MNG,1,C,0.322,0.758835797,0.524903596,Weak democracy,3,45
Montenegro,MNE,1,C,0.109,0.638131586,0.51769319,Mid-range performing democracy,2,6
Mozambique,MOZ,1,C,0.523,0.565311519,0.413250003,Hybrid Regime,4,289
Nepal,NPL,1,C,0.452,0.657470181,0.452187539,Mid-range performing democracy,2,186
Netherlands,NLD,1,C,0.043,0.848360558,0.85559803,High performing democracy,1,5
New Caledonia,NCL,1,C,,,,,,
New Zealand,NZL,1,C,0.123,0.922660092,0.739140897,High performing democracy,1,9
Northern Ireland,,1,C,,,,,,
Norway,NOR,1,C,0.045,0.899415104,0.937534735,High performing democracy,1,2
Portugal,PRT,1,C,0.075,0.887900616,0.726219581,Mid-range performing democracy,2,8
Puerto Rico,PRI,1,C,,,,,,21
North Macedonia,MKD,1,C,0.143,0.713920362,0.556180378,Mid-range performing democracy,2,7
