countryname,iso,cat_num,Var1Class,gii,civil liberties,social rights/equality,democracy_cat,democracy_catnum,iso
Albania,ALB,1,C,0.181,0.706608008,0.551188481,Weak democracy,3,
Argentina,ARG,1,C,0.328,0.832642532,0.648560502,Mid-range performing democracy,2,
Armenia,ARM,1,C,0.245,0.746590019,0.601268048,Weak democracy,3,
Australia,AUS,1,C,0.097,0.833802993,0.821563599,High performing democracy,1,
Austria,AUT,1,C,0.069,0.852710358,0.765504485,High performing democracy,1,
Azerbaijan,AZE,1,C,0.323,0.418582606,0.364628317,Authoritarian Regime,5,
Belarus,BLR,1,C,0.118,0.314499617,0.668128179,Authoritarian Regime,5,
Belgium,BEL,1,C,0.043,0.86777616,0.839450103,High performing democracy,1,
Bosnia-Herzegovina,#N/A,1,C,,,,,,
Bulgaria,BGR,1,C,0.206,0.684224566,0.643012043,Mid-range performing democracy,2,
Cambodia,KHM,1,C,0.474,0.440855326,0.31362389,Authoritarian Regime,5,
Canada,CAN,1,C,0.08,0.889673479,0.728331296,Mid-range performing democracy,2,
Cape Verde,CPV,1,C,,0.808219071,0.523545026,Mid-range performing democracy,2,
China,CHN,1,C,0.168,0.269289716,0.449684855,Authoritarian Regime,5,
Croatia,HRV,1,C,0.116,0.710881102,0.586794816,Mid-range performing democracy,2,
Cuba,CUB,1,C,0.304,0.324109415,0.605952419,Authoritarian Regime,5,
Cyprus,CYP,1,C,0.086,0.806163222,0.671484698,Mid-range performing democracy,2,
Czech Rep.,#N/A,1,C,,,,,,
Dem. People’s Rep. of Korea,#N/A,1,C,,,,,,
Denmark,DNK,1,C,0.038,0.903682589,0.94054403,High performing democracy,1,
Estonia,EST,1,C,0.086,0.907647841,0.75056699,Mid-range performing democracy,2,
France,FRA,1,C,0.049,0.805902051,0.724521964,High performing democracy,1,
French Guiana,GUF,1,C,,,,,,
Georgia,GEO,1,C,0.331,0.714725259,0.630626889,Mid-range performing democracy,2,
Germany,DEU,1,C,0.084,0.841851824,0.92532042,High performing democracy,1,
Greece,GRC,1,C,0.116,0.785563115,0.699542105,Mid-range performing democracy,2,
Guinea-Bissau,GNB,1,C,,0.630146018,0.361095266,Weak democracy,3,
Guyana,GUY,1,C,0.462,,,,,
Hungary,HUN,1,C,0.233,0.653259073,0.619835713,Mid-range performing democracy,2,
Iceland,ISL,1,C,0.058,0.904881063,0.731757217,High performing democracy,1,
Ireland,IRL,1,C,0.093,0.92718902,0.767744025,High performing democracy,1,
Italy,ITA,1,C,0.069,0.834588569,0.82681328,Mid-range performing democracy,2,
Kazakhstan,KAZ,1,C,0.19,0.462943897,0.473837025,Authoritarian Regime,5,
Kosovo,#N/A,1,C,,0.680829347,0.472557277,Mid-range performing democracy,2,
Kyrgyzstan,KGZ,1,C,0.369,0.574596413,0.461881048,Hybrid Regime,4,
Latvia,LVA,1,C,0.176,0.871419743,0.813708382,Mid-range performing democracy,2,
Lithuania,LTU,1,C,0.124,0.780947116,0.791904561,Mid-range performing democracy,2,
