State_Full,State_Abbr,Q1A,Q1B,Q1C,Q1D,Q1E,Q1F,Q2,Q2a,Q2a_OS,Q3A,Q3B,Q3C,Q3D,Q3E,Q3F,Q4A,Q4B,Q4C,Q5,Q5a_1,Q5a_2,Q5a_3,Q5a_3_OS,Q5a_RF,Q6,Q6a,Q7,Q7a,Q8,Q9,Q9a,Q10,Q10a_1,Q10a_2,Q10a_3,Q10a_3_OS,Q10a_RF,Q11A,Q11A1,Q11A2,Q11A3,Q11B,Q11B1,Q11B2,Q11B3,Q12,Q12a,Q13,Q13a,Q14_1,Q14_2,Q14_3,Q14_4,Q14_4_OS,Q14_RF,Q15,Q16A,Q16B,Q16C,Q16D,Q17A,Q17A1,Q17A2,Q17A3,Q17B,Q17B1,Q17B2,Q17B3,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_RF,Q20,Q20a,Q20b,Q20c_1,Q20c_2,Q20c_3,Q20c_4,Q20c_5,Q20c_6,Q20c_RF,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_RF,Q22,Q23,Q24
"ALABAMA","AL",1,3,3,1,3,1,1,-100," ",4,1,1,1,1,1,4,4,1,1,1,0,0," ",0,1,1,2,-100,1,2,-100,1,-100,-100,-100," ",-100,1,1,-100,-100,2,-100,1,-100,2,1,2,-100,0,0,0,1,"Mail, in person",0,1,-100,1,-100,-100,2,-100,1,-100,3,-100,-100,7,3,0,1,1,1,1,0,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,0,0,0,0,1,0,2,2,4
"ALASKA","AK",1,1,1,1,1,1,1,-100," ",4,1,1,4,1,1,1,1,1,1,1,0,1,"Alaska Permanent Fund Dividend Division",0,1,1,1,4,2,2,-100,1,-100,-100,-100," ",-100,2,-100,1,-100,3,-100,-100,10,1,2,2,-100,1,1,0,1,"Mail",0,1,-100,1,-100,-100,2,-100,1,-100,3,-100,-100,15,2,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,2,2,3
"AMERICAN SAMOA","AS",1,1,1,1,1,1,1,-100," ",1,4,4,4,-99,1,4,4,4,2,-100,-100,-100," ",-100,2,-100,2,-100,2,2,-100,2,-100,-100,-100," ",-100,2,-100,1,-100,2,-100,1,-100,1,1,2,-100,1,1,0,1,"Postal mail in requests",0,2,-100,-100,1,-100,2,-100,1,-100,2,-100,1,-100,3,0,0,1,0,1,0,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,0,0,0,0,0,0,1,2,3
"ARIZONA","AZ",2,2,2,2,2,2,3,1," ",3,1,1,1,1,1,4,4,4,1,1,0,0," ",0,1,1,2,-100,2,2,-100,2,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,1,2,1,3,1,1,1,1,"County Voter Registration UOCAVA Portal",0,1,-100,-100,-100,1,-99,-100,-100,-100,2,-100,1,-100,3,0,1,0,0,1,0,1,1,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,2,4
"ARKANSAS","AR",1,2,2,2,2,1,1,-100," ",3,4,4,1,1,1,4,4,1,1,1,0,0," ",0,2,-100,2,-100,1,2,-100,1,-100,-100,-100," ",-100,2,-100,1,-100,2,-100,1,-100,1,2,1,2,1,1,0,1,"Mail",0,1,-100,-100,1,-100,2,-100,1,-100,3,-100,-100,10,3,0,0,1,1,1,0,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,0,0,0,1,0,0,1,2,3
"CALIFORNIA","CA",1,1,1,1,3,1,2,1," ",2,1,1,1,1,1,4,4,4,1,1,0,0," ",0,1,2,1,1,2,1,2,2,-100,-100,-100," ",-100,2,-100,1,-100,3,-100,-100,3,1,2,1,3,1,1,1,1,"mail",0,1,-99,-99,-99,-99,2,-100,1,-100,3,-100,-100,3,2,0,1,1,1,1,0,1,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,4,2,1
"COLORADO","CO",1,1,1,3,1,3,1,-100," ",4,1,1,1,1,1,4,4,1,1,1,0,0," ",0,1,1,1,1,2,1,1,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,1,2,1,1,1,1,1,1,"mail",0,1,-100,-100,-100,1,2,-100,1,-100,3,-100,-100,8,1,0,1,1,0,0,0,1,3,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,2,1
"CONNECTICUT","CT",1,1,1,1,1,1,1,-100," ",4,1,1,1,4,1,4,4,1,1,1,0,0," ",0,1,1,1,1,1,2,-100,3,0,1,0," ",0,-99,-100,-100,-100,2,-100,1,-100,2,1,2,-100,1,1,0,1,"mail, in-person",0,1,-100,-100,1,-100,-99,-100,-100,-100,2,-100,1,-100,3,0,1,0,0,1,0,1,3,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,4,2,1
"DELAWARE","DE",1,1,1,1,1,1,1,-100," ",2,4,4,2,1,1,4,2,1,1,1,0,0," ",0,1,2,2,-100,1,2,-100,3,0,1,1,"providing care for disabled spouse or child, mililtary and overseas",0,-99,-100,-100,-100,2,-100,1,-100,2,1,2,-100,1,1,0,0," ",0,1,-100,-100,-100,1,-99,-100,-100,-100,2,-100,1,-100,3,0,1,1,0,1,0,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,1,1,0,1,1,0,2,2,1
"DISTRICT OF COLUMBIA","DC",1,1,1,1,1,1,1,-100," ",4,1,1,1,1,1,4,1,1,1,1,0,0," ",0,1,2,1,1,2,2,-100,2,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,1,2,2,-100,1,1,0,1,"Mail",0,1,-100,1,-100,-100,-99,-100,-100,-100,2,-100,1,-100,3,0,1,1,0,1,0,1,3,2,0,1,0,1,1,1,0,-99,-99,-99,-99,-99,-99,1,4,1,1
"FLORIDA","FL",1,2,2,2,2,2,1,-100," ",4,1,1,1,1,1,4,3,1,1,1,0,0," ",0,1,1,2,-100,2,2,-100,1,-100,-100,-100," ",-100,2,-100,1,-100,2,-100,1,-100,2,2,2,-100,0,0,0,1,"Mail",0,1,-100,4,-100,-100,2,-100,1,-100,3,-100,-100,10,3,0,1,0,0,0,0,1,3,1,1,1,1,1,1,1,0,-99,-99,-99,-99,-99,-99,1,1,3,4
"GEORGIA","GA",1,1,1,1,3,1,1,-100," ",3,1,1,4,4,1,4,4,1,1,1,0,0," ",0,1,1,2,-100,2,2,-100,1,-100,-100,-100," ",-100,2,-100,1,-100,2,-100,1,-100,1,2,2,-100,1,1,0,0," ",0,1,-100,1,-100,-100,2,-100,1,-100,3,-100,-100,3,2,0,1,0,0,1,0,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,0,0,0,0,0,0,1,2,1
"GUAM","GU",1,1,1,1,1,1,1,-100,"",1,1,1,1,1,1,1,1,1,2,-100,-100,-100,"",-100,1,1,1,3,1,2,-100,1,-100,-100,-100,"",-100,2,-100,1,-100,3,-100,-100,10,2,1,2,-100,1,1,1,1,"",0,1,-100,-100,-100,1,2,-100,1,-100,3,-100,-100,10,1,0,1,0,0,0,0,1,3,3,-100,-100,-100,-100,-100,-100,-100,1,1,0,0,0,1,0,4,1,1
"HAWAII","HI",3,3,3,3,3,3,1,-100," ",4,1,1,4,1,1,4,4,4,2,-100,-100,-100," ",-100,1,2,1,1,2,2,-100,2,-100,-100,-100," ",-100,2,-100,1,-100,2,-100,1,-100,1,2,2,-100,1,1,0,1,"mail",0,2,-100,-100,1,-100,2,-100,1,-100,2,-100,1,-100,3,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1
"IDAHO","ID",2,2,2,2,2,2,1,-100," ",2,1,1,1,1,1,4,4,1,1,1,0,0," ",0,1,1,1,1,2,2,-100,1,-100,-100,-100," ",-100,-99,-100,-100,-100,2,-100,1,-100,1,2,2,-100,1,1,0,0," ",0,1,-100,1,-100,-100,-99,-100,-100,-100,2,-100,1,-100,-99,0,0,1,0,0,0,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,1,0,1,1,0,0,1,2,1
"ILLINOIS","IL",3,3,3,3,3,3,2,3,"Both, in real-time and daily",3,4,4,1,2,1,3,3,1,1,1,0,0," ",0,1,1,1,1,2,2,-100,1,-100,-100,-100," ",-100,2,-100,1,-100,3,-100,-100,14,1,2,2,-100,1,1,1,1,"mail",0,2,-100,1,-100,-100,2,-100,1,-100,3,-100,-100,14,2,0,0,1,1,1,0,1,3,3,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,1,0,0,4,1,1
