locationname,marketname,city,countrycode,address,zip,region,lat,lon,operator,status,timezone,url,open_day,open_month,open_year,other_date,playground,drivethru,format,in_mall,geometry
Menlo Park Mall,"New York, NY",Edison,US,55 Parsonage Rd Unit 434,08837,NJ,40.5478884,-74.3348809,Tylan Lacy,OPEN,America/New_York,https://www.chick-fil-a.com/menloparkmall,2.0,5.0,2002.0,2002-05-02,none,False,Food Court,True,POINT (-74.3348809 40.5478884)
Union Township,"New York, NY",Union,US,2319 US Highway 22 W,07083,NJ,40.69077,-74.29155,Jim Strole,OPEN,America/New_York,https://www.chick-fil-a.com/uniontownship,6.0,6.0,2013.0,2013-06-06,interior,True,Stand Alone,False,POINT (-74.29155 40.69077)
Edison Towne Square,"New York, NY",Edison,US,999 US Highway 1,08817,NJ,40.5480569,-74.334648,Sophie Stein,OPEN,America/New_York,https://www.chick-fil-a.com/edisontownesquare,2.0,12.0,2021.0,2021-12-02,none,True,Stand Alone,False,POINT (-74.334648 40.5480569)
Puente Hills,"Los Angeles, CA",City Of Industry,US,1542 S Azusa Ave,91748,CA,33.995556,-117.9307422,Bob Sun,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/puentehills,26.0,10.0,2016.0,2016-10-26,exterior,True,Stand Alone,False,POINT (-117.9307422 33.995556)
Vincent & Lake,"Los Angeles, CA",West Covina,US,200 S Vincent Ave,91790,CA,34.0693359,-117.9260711,Danny Hernandez,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/vincentandlake,13.0,2.0,2020.0,2020-02-13,none,True,Stand Alone,False,POINT (-117.9260711 34.0693359)
City of Industry,"Los Angeles, CA",City Of Industry,US,21550 Valley Blvd,91789,CA,34.0260589,-117.8361569,Bob Sun,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/cityofindustry,31.0,7.0,2008.0,2008-07-31,interior,True,Stand Alone,False,POINT (-117.8361569 34.0260589)
Azusa,"Los Angeles, CA",Azusa,US,900 E Alosta Ave,91702,CA,34.12795,-117.88915,Carlos Mayen Solorzano,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/azusa,21.0,2.0,2013.0,2013-02-21,none,True,Stand Alone,False,POINT (-117.88915 34.12795)
Glendora Commons In-Line DT,"Los Angeles, CA",Glendora,US,1247 S Lone Hill Ave,91740,CA,34.11858313763084,-117.82907431477362,Carlos Mayen Solorzano,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/glendoracommonsinline,1.0,6.0,2017.0,2017-06-01,interior,True,In-Line,False,POINT (-117.82907431477362 34.11858313763084)
League City Towne Center,"Houston, TX",Dickinson,US,1640 FM 646 Rd W,77539,TX,29.46851,-95.0859,Michael Lee,OPEN,America/Chicago,https://www.chick-fil-a.com/leaguecitytownecenter,4.0,12.0,2008.0,2008-12-04,interior,True,Stand Alone,False,POINT (-95.0859 29.46851)
Hwy. 96 & South Shore Blvd.,"Houston, TX",League City,US,2805 E League City Pkwy,77573,TX,29.5068061,-95.0384389,Travis Powell,OPEN,America/Chicago,https://www.chick-fil-a.com/hwy96andsouthshoreblvd,4.0,5.0,2017.0,2017-05-04,interior,True,Stand Alone,False,POINT (-95.0384389 29.5068061)
Nassau Bay,"Houston, TX",Houston,US,1900 Nasa Pkwy,77058,TX,29.55146333,-95.08802333,Ummara Sajid,OPEN,America/Chicago,https://www.chick-fil-a.com/nassaubay,25.0,1.0,2018.0,2018-01-25,interior,True,Stand Alone,False,POINT (-95.08802333 29.55146333)
Baybrook Mall,"Houston, TX",Friendswood,US,1 Baybrook Mall,77546,TX,29.5419981,-95.1487637,Charles Gibson,OPEN,America/Chicago,https://www.chick-fil-a.com/baybrookmall,31.0,8.0,1982.0,1982-08-31,none,False,Food Court,True,POINT (-95.1487637 29.5419981)
Kemah,"Houston, TX",Clear Lake Shores,US,321 Marina Bay Dr,77565,TX,29.540341,-95.023782,LaChelle Cress,OPEN,America/Chicago,https://www.chick-fil-a.com/kemah,29.0,11.0,2001.0,2001-11-29,interior,True,Stand Alone,False,POINT (-95.023782 29.540341)
El Dorado Boulevard,"Houston, TX",Webster,US,18323 Gulf Fwy,77598,TX,29.5557294,-95.1538,Charles Gibson,OPEN,America/Chicago,https://www.chick-fil-a.com/i45andeldorado,6.0,3.0,2014.0,2014-03-06,interior,True,Stand Alone,False,POINT (-95.1538 29.5557294)
Texas City,"Houston, TX",Texas City,US,3440 Palmer Hwy,77590,TX,29.3956231,-94.9485061,Lori Chalmers,OPEN,America/Chicago,https://www.chick-fil-a.com/texascity,4.0,4.0,2019.0,2019-04-04,interior,True,Stand Alone,False,POINT (-94.9485061 29.3956231)
Town East Mall,"Dallas-Ft. Worth, TX",Mesquite,US,3054 Town East Mall,75150,TX,32.8074258,-96.6239465,Sam Wallis,OPEN,America/Chicago,https://www.chick-fil-a.com/towneastmall,16.0,10.0,1986.0,1986-10-16,none,False,Food Court,True,POINT (-96.6239465 32.8074258)
Mesquite,"Dallas-Ft. Worth, TX",Mesquite,US,1600 N Town East Blvd,75150,TX,32.81045,-96.619886,Roger Clark,OPEN,America/Chicago,https://www.chick-fil-a.com/mesquite,1.0,12.0,1993.0,1993-12-01,none,True,Stand Alone,False,POINT (-96.619886 32.81045)
Sunnyvale Centre,"Dallas-Ft. Worth, TX",Sunnyvale,US,176 South Collins Road,75182,TX,32.782815,-96.562713,Roger Clark,OPEN,America/Chicago,https://www.chick-fil-a.com/us80andcollins,7.0,10.0,2021.0,2021-10-07,interior,True,Stand Alone,False,POINT (-96.562713 32.782815)
White Rock,"Dallas-Ft. Worth, TX",Dallas,US,9111 Garland Rd,75218,TX,32.82937,-96.70834,Michael Walkup,OPEN,America/Chicago,https://www.chick-fil-a.com/whiterock,6.0,7.0,2017.0,2017-07-06,interior,True,Stand Alone,False,POINT (-96.70834 32.82937)
Renaissance Tower,"Dallas-Ft. Worth, TX",Dallas,US,1201 Elm St Ste LL06,75270,TX,32.7809557,-96.8023125,Joshua Calva,OPEN,America/Chicago,https://www.chick-fil-a.com/renaissancetower,15.0,1.0,1988.0,1988-01-15,none,False,Food Court,True,POINT (-96.8023125 32.7809557)
Hillcrest & University In-Line,"Dallas-Ft. Worth, TX",Dallas,US,6423 Hillcrest Ave,75205,TX,32.8446495,-96.78740239999999,Jeff White,OPEN,America/Chicago,https://www.chick-fil-a.com/hillcrestinline,21.0,5.0,2008.0,2008-05-21,interior,False,In-Line,False,POINT (-96.78740239999999 32.8446495)
Lake Highlands In-Line DT,"Dallas-Ft. Worth, TX",Dallas,US,6176 Retail Rd Ste 100,75231,TX,32.8609904,-96.7548777,Lori Canales,OPEN,America/Chicago,https://www.chick-fil-a.com/lakehighlands,9.0,2.0,2012.0,2012-02-09,none,True,In-Line,False,POINT (-96.7548777 32.8609904)
Hampton & I-20,"Dallas-Ft. Worth, TX",Dallas,US,2429 W Wheatland Rd,75237,TX,32.648107,-96.8582795,Gregory Morris,OPEN,America/Chicago,https://www.chick-fil-a.com/hamptonandi20,30.0,7.0,2009.0,2009-07-30,interior,True,Stand Alone,False,POINT (-96.8582795 32.648107)
Westlake Village Drive-Thru Only,"Los Angeles, CA",Westlake Village,US,3771 E Thousand Oaks Blvd,91362,CA,34.16418,-118.82808,Steven Richardson,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/thousandoaksdto,30.0,8.0,2012.0,2012-08-30,none,True,Stand Alone,False,POINT (-118.82808 34.16418)
Serramonte Center,"San Francisco-Oakland-San Jose, CA",Daly City,US,6 Serramonte Ctr,94015,CA,37.674159,-122.4720743,Susanna Choe,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/serramontecenter,18.0,11.0,2021.0,2021-11-18,none,True,Stand Alone,False,POINT (-122.4720743 37.674159)
Whipple & 101,"San Francisco-Oakland-San Jose, CA",Redwood City,US,536 Whipple Ave,94063,CA,37.494119,-122.235651,Reagan Collier,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/whippleand101,23.0,7.0,2020.0,2020-07-23,none,True,Stand Alone,False,POINT (-122.235651 37.494119)
Redwood City Delivery,"San Francisco-Oakland-San Jose, CA",Redwood City,US,1531 Main St,94063,CA,37.4792467,-122.2243062,Reagan Collier,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/redwoodcitydoordashdfl,31.0,10.0,2019.0,2019-10-31,none,False,In-Line,False,POINT (-122.2243062 37.4792467)
Sunnyvale,"San Francisco-Oakland-San Jose, CA",Sunnyvale,US,550 W El Camino Real,94087,CA,37.36893,-122.03841,Arnold Chong,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/sunnyvale,31.0,10.0,2013.0,2013-10-31,interior,True,Stand Alone,False,POINT (-122.03841 37.36893)
North Salinas,"Monterey-Salinas, CA",Salinas,US,1800 Northridge Mall,93906,CA,36.7171845,-121.6557344,Jordan Chroman,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/northsalinas,8.0,4.0,2021.0,2021-04-08,none,True,Stand Alone,False,POINT (-121.6557344 36.7171845)
Monterey Road & Tully Road,"San Francisco-Oakland-San Jose, CA",San Jose,US,2280 Monterey Hwy,95112,CA,37.302819,-121.85968,Shannon Balderas,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/montereyroad,3.0,4.0,2014.0,2014-04-03,interior,True,Stand Alone,False,POINT (-121.85968 37.302819)
First Street,"San Francisco-Oakland-San Jose, CA",San Jose,US,53 Headquarters Dr,95134,CA,37.415739,-121.953487,Will Wong,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/firststreet,23.0,8.0,2012.0,2012-08-23,none,True,Stand Alone,False,POINT (-121.953487 37.415739)
Milpitas Town Center,"San Francisco-Oakland-San Jose, CA",Milpitas,US,755 E Calaveras Blvd,95035,CA,37.4338793,-121.8937947,Chris Johnson,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/calaverasathillview,16.0,6.0,2022.0,2022-06-16,none,True,Stand Alone,,POINT (-121.8937947 37.4338793)
Gleannloch Village,"Houston, TX",Spring,US,8510 Spring Cypress Rd,77379,TX,30.0362325,-95.5529494,Mike Ludwig,OPEN,America/Chicago,https://www.chick-fil-a.com/gleannlochvillage,24.0,5.0,2018.0,2018-05-24,interior,True,Stand Alone,False,POINT (-95.5529494 30.0362325)
Willowbrook Mall,"Houston, TX",Houston,US,1174 Willowbrook Mall,77070,TX,29.95987433,-95.538364,Darlene Kober,OPEN,America/Chicago,https://www.chick-fil-a.com/willowbrookmall,23.0,9.0,1981.0,1981-09-23,none,False,Food Court,True,POINT (-95.538364 29.95987433)
1960 & Cutten,"Houston, TX",Houston,US,7007 FM 1960 Rd W,77069,TX,29.9678668,-95.53378,Kevin Caddenhead,OPEN,America/Chicago,https://www.chick-fil-a.com/1960andcutten,13.0,6.0,1996.0,1996-05-30,interior,True,Stand Alone,False,POINT (-95.53378 29.9678668)
Chino Hills,"Los Angeles, CA",Chino Hills,US,3640 Grand Ave,91709,CA,34.00235,-117.72779,David Dinasan,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/chinohills,29.0,1.0,2004.0,2004-01-26,interior,True,Stand Alone,False,POINT (-117.72779 34.00235)
Yorba Linda,"Los Angeles, CA",Yorba Linda,US,22450 Old Canal Rd,92887,CA,33.87294,-117.74507,Kelley Mauga,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/yorbalinda,14.0,1.0,2010.0,2010-01-14,interior,True,Stand Alone,False,POINT (-117.74507 33.87294)
Homewood (IL),"Chicago, IL",Homewood,US,17450 Halsted St,60430,IL,41.5721769,-87.6368686,Skyler Wasson,OPEN,America/Chicago,https://www.chick-fil-a.com/homewoodil,5.0,9.0,2019.0,2019-09-05,interior,True,Stand Alone,False,POINT (-87.6368686 41.5721769)
Palmhurst,"Harlingen-Weslaco-Brownsville-McAllen, TX",Palmhurst,US,214 E Mile 3 Rd,78573,TX,26.2575667,-98.316867,Joe Gonzalez,OPEN,America/Chicago,https://www.chick-fil-a.com/palmhurst,18.0,5.0,2017.0,2017-05-18,interior,True,Stand Alone,False,POINT (-98.316867 26.2575667)
Sharyland Towne Crossing,"Harlingen-Weslaco-Brownsville-McAllen, TX",Mission,US,2501 E Interstate Highway 2,78572,TX,26.19618,-98.2831,Ted Venecia,OPEN,America/Chicago,https://www.chick-fil-a.com/sharylandtownecrossing,28.0,6.0,2007.0,2007-06-28,interior,True,Stand Alone,False,POINT (-98.2831 26.19618)
27th & Nolana,"Harlingen-Weslaco-Brownsville-McAllen, TX",Mcallen,US,2709 W Nolana Ave,78504,TX,26.240289,-98.244863,Luis Magdaleno,OPEN,America/Chicago,https://www.chick-fil-a.com/27thandnolana,23.0,3.0,2017.0,2017-03-23,interior,True,Stand Alone,False,POINT (-98.244863 26.240289)
10th Street,"Harlingen-Weslaco-Brownsville-McAllen, TX",Mcallen,US,7340 N 10th St,78504,TX,26.26937,-98.21824,Rudy Martinez,OPEN,America/Chicago,https://www.chick-fil-a.com/10thstreet,5.0,12.0,2002.0,2002-12-05,interior,True,Stand Alone,False,POINT (-98.21824 26.26937)
Edinburg,"Harlingen-Weslaco-Brownsville-McAllen, TX",Edinburg,US,1360 W University Dr,78539,TX,26.302702,-98.176049,Rudy Martinez,OPEN,America/Chicago,https://www.chick-fil-a.com/edinburg,26.0,3.0,2015.0,2015-03-26,interior,True,Stand Alone,False,POINT (-98.176049 26.302702)
Church Street - Nashville,"Nashville, TN",Nashville,US,1622 Church St,37203,TN,36.1565,-86.79524,John Moore,OPEN,America/Chicago,https://www.chick-fil-a.com/churchstreet-nashville,17.0,10.0,2018.0,2018-10-17,none,False,Food Court,False,POINT (-86.79524 36.1565)
Tennessee Tower,"Nashville, TN",Nashville,US,312 Rosa L Parks,37243,TN,36.16354,-86.78517,John Moore,OPEN,America/Chicago,https://www.chick-fil-a.com/tennesseetower,22.0,6.0,2016.0,2016-06-23,none,False,Food Court,False,POINT (-86.78517 36.16354)
MetroCenter (TN) In-Line DT,"Nashville, TN",Nashville,US,2120 Rosa L Parks Blvd,37228,TN,36.1929726,-86.8003385,John Moore,OPEN,America/Chicago,https://www.chick-fil-a.com/metrocentertninlinedt,30.0,11.0,2017.0,2017-11-30,interior,True,In-Line,False,POINT (-86.8003385 36.1929726)
2920 / Kuykendahl,"Houston, TX",Spring,US,5905 FM 2920 Rd,77388,TX,30.0736058,-95.5094372,Mike Ludwig,OPEN,America/Chicago,https://www.chick-fil-a.com/2920-kuykendahl,13.0,12.0,2007.0,2007-12-13,interior,True,Stand Alone,False,POINT (-95.5094372 30.0736058)
1960 & Walters,"Houston, TX",Houston,US,3635 Cypress Creek Pkwy,77068,TX,29.995673,-95.4831624,Kevin Caddenhead,OPEN,America/Chicago,https://www.chick-fil-a.com/1960andwalters,28.0,5.0,2015.0,2015-05-28,interior,True,Stand Alone,False,POINT (-95.4831624 29.995673)
1960 / I-45,"Houston, TX",Houston,US,430 Cypress Creek Pkwy,77090,TX,30.0197802,-95.4358303,Tyler Pierotti,OPEN,America/Chicago,https://www.chick-fil-a.com/1960-i45,21.0,6.0,2012.0,2012-06-21,interior,True,Stand Alone,False,POINT (-95.4358303 30.0197802)
Market at Springwoods Village,"Houston, TX",Spring,US,2102 Spring Stuebner Rd,77389,TX,,,Mike Magdaleno,OPEN,America/Chicago,https://www.chick-fil-a.com/springwoodsvillage,16.0,8.0,2017.0,2017-08-16,interior,True,Stand Alone,False,POINT EMPTY
Louetta Crossing,"Houston, TX",Spring,US,20608 Interstate 45,77373,TX,30.0650232,-95.4332363,Mike Magdaleno,OPEN,America/Chicago,https://www.chick-fil-a.com/louettacrossing,17.0,8.0,2000.0,2000-08-10,interior,True,Stand Alone,False,POINT (-95.4332363 30.0650232)
Bear Valley Rd. & Mariposa,"Los Angeles, CA",Victorville,US,12180 Mariposa Rd,92395,CA,34.4723648,-117.3434082,Kyle Zimmerman,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/bearvalleyrdandmariposa,15.0,7.0,2021.0,2021-07-15,interior,True,Stand Alone,False,POINT (-117.3434082 34.4723648)
I-10 & Yucaipa Blvd,"Los Angeles, CA",Yucaipa,US,31479 Avenue E,92399,CA,34.0268366,-117.1168916,Chris Redmon,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/i10andyucaipablvd,24.0,6.0,2021.0,2021-06-24,none,True,Stand Alone,False,POINT (-117.1168916 34.0268366)
Blackstone,"Fresno-Visalia, CA",Fresno,US,8040 N Blackstone Ave,93720,CA,36.85284,-119.79047,Sonja Middleton,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/blackstone,18.0,9.0,2008.0,2008-09-18,interior,False,Stand Alone,False,POINT (-119.79047 36.85284)
Fashion Fair,"Fresno-Visalia, CA",Fresno,US,765 E Shaw Ave,93710,CA,36.80794733,-119.773643,Peter Marthedal,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/fashionfair,12.0,2.0,2015.0,2015-02-12,interior,True,Stand Alone,False,POINT (-119.773643 36.80794733)
Hwy 99 & Yosemite Ave,"Sacramento-Stockton-Modesto, CA",Manteca,US,1405 E Yosemite Ave,95336,CA,37.797897,-121.193324,Micah Payton,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/hwy99andyosemiteave,30.0,4.0,2020.0,2020-04-30,none,True,Stand Alone,False,POINT (-121.193324 37.797897)
59 & Fondren,"Houston, TX",Houston,US,7539 Southwest Fwy,77074,TX,29.6975168,-95.5196851,Steven Kinney,OPEN,America/Chicago,https://www.chick-fil-a.com/hwy59andfondrenroad,8.0,3.0,2021.0,2021-03-08,interior,True,Stand Alone,False,POINT (-95.5196851 29.6975168)
Westheimer & Fondren,"Houston, TX",Houston,US,8609 Westheimer Rd,77063,TX,29.736933,-95.517841,Branden Gibson,OPEN,America/Chicago,https://www.chick-fil-a.com/westheimeratfondren,28.0,6.0,2007.0,2007-06-28,interior,True,Stand Alone,False,POINT (-95.517841 29.736933)
Westheimer & Kirkwood,"Houston, TX",Houston,US,2606 S Kirkwood Rd,77077,TX,29.735396,-95.5891743,Greg Kubala,OPEN,America/Chicago,https://www.chick-fil-a.com/westheimeratkirkwood,19.0,12.0,2002.0,,interior,True,Stand Alone,False,POINT (-95.5891743 29.735396)
Meyerland Plaza,"Houston, TX",Houston,US,5001 Beechnut St,77096,TX,29.687853,-95.465092,Jesse Chaluh,OPEN,America/Chicago,https://www.chick-fil-a.com/meyerlandplaza,9.0,12.0,1999.0,1999-12-01,interior,True,Stand Alone,False,POINT (-95.465092 29.687853)
S. Rice and Westpark,"Houston, TX",Houston,US,5325 S Rice Ave,77081,TX,29.72407,-95.46753,Steven Kinney,OPEN,America/Chicago,https://www.chick-fil-a.com/sriceandwestpark,12.0,1.0,2017.0,2017-01-12,interior,True,Stand Alone,False,POINT (-95.46753 29.72407)
Galleria I,"Houston, TX",Houston,US,5015 Westheimer Rd Ste 1330,77056,TX,29.7390219,-95.4630822,Sydnea Rutland,OPEN,America/Chicago,https://www.chick-fil-a.com/galleria,2.0,12.0,1987.0,1987-12-02,none,False,Food Court,True,POINT (-95.4630822 29.7390219)
Memorial City Mall,"Houston, TX",Houston,US,303 Memorial City Ste 385,77024,TX,29.780523,-95.539886,Rafael McLeod,OPEN,America/Chicago,https://www.chick-fil-a.com/memorialcity,17.0,12.0,1983.0,1983-12-17,none,False,Food Court,True,POINT (-95.539886 29.780523)
Enos Ranch,"Santa Barbara-Santa Maria-San Luis Obispo, CA",Santa Maria,US,605 E Betteravia Rd,93454,CA,34.9246768,-120.4236038,Joey Hickox,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/enosranch,15.0,3.0,2018.0,2018-03-15,interior,True,Stand Alone,False,POINT (-120.4236038 34.9246768)
Cedar Park,"Austin, TX",Cedar Park,US,1325 E Whitestone Blvd,78613,TX,30.52638,-97.81432,Priscilla Mendoza,OPEN,America/Chicago,https://www.chick-fil-a.com/cedarpark,11.0,9.0,2008.0,2008-09-11,interior,True,Stand Alone,False,POINT (-97.81432 30.52638)
Leander,"Austin, TX",Leander,US,1205 S Highway 183,78641,TX,30.5628435,-97.8467891,Priscilla Mendoza,OPEN,America/Chicago,https://www.chick-fil-a.com/leander,15.0,5.0,2019.0,2019-05-15,interior,True,Stand Alone,False,POINT (-97.8467891 30.5628435)
Four Points,"Austin, TX",Austin,US,7710 N FM 620 Rd Unit 9,78726,TX,30.4093326,-97.85215900000001,Mark Ortego,OPEN,America/Chicago,https://www.chick-fil-a.com/fourpoints,10.0,4.0,2020.0,2020-04-10,interior,True,Stand Alone,False,POINT (-97.85215900000001 30.4093326)
Coors,"Albuquerque-Santa Fe, NM",Albuquerque,US,4001 Coors Blvd NW,87120,NM,35.1283109,-106.7020637,Dan O'Bryan,OPEN,America/Denver,https://www.chick-fil-a.com/coorsandstjosephsdr,19.0,3.0,2020.0,2020-03-19,interior,True,Stand Alone,False,POINT (-106.7020637 35.1283109)
Unser & Southern,"Albuquerque-Santa Fe, NM",Rio Rancho,US,1058 Unser Blvd SE,87124,NM,35.240301,-106.696261,Bridget Alcala,OPEN,America/Denver,https://www.chick-fil-a.com/unserandsouthern,9.0,12.0,2015.0,2015-12-09,interior,True,Stand Alone,False,POINT (-106.696261 35.240301)
Cottonwood,"Albuquerque-Santa Fe, NM",Albuquerque,US,3801 Ellison Rd NW,87114,NM,35.206254,-106.656706,Margo Wilson,OPEN,America/Denver,https://www.chick-fil-a.com/cottonwood,18.0,11.0,2004.0,2004-11-18,interior,True,Stand Alone,False,POINT (-106.656706 35.206254)
Gibson Boulevard,"Albuquerque-Santa Fe, NM",Albuquerque,US,1600 Gibson Blvd SE,87106,NM,35.0580474,-106.6304609,Len Spadoni,OPEN,America/Denver,https://www.chick-fil-a.com/gibsonboulevard,16.0,12.0,2015.0,2015-12-16,interior,True,Stand Alone,False,POINT (-106.6304609 35.0580474)
Montgomery and San Mateo,"Albuquerque-Santa Fe, NM",Albuquerque,US,5009 Montgomery Blvd NE,87109,NM,35.1312493,-106.5876775,Len Spadoni,OPEN,America/Denver,https://www.chick-fil-a.com/montgomeryandsanmateo,14.0,6.0,2012.0,2012-06-14,interior,True,Stand Alone,False,POINT (-106.5876775 35.1312493)
Paseo Del Norte,"Albuquerque-Santa Fe, NM",Albuquerque,US,8110 San Pedro Dr NE,87113,NM,35.1748138,-106.575583,Mark Cook,OPEN,America/Denver,https://www.chick-fil-a.com/paseodelnorte,16.0,4.0,2009.0,2009-04-16,interior,True,Stand Alone,False,POINT (-106.575583 35.1748138)
Wyoming Boulevard,"Albuquerque-Santa Fe, NM",Albuquerque,US,2274 Wyoming Blvd NE,87112,NM,35.10588,-106.55044,Mark Cook,OPEN,America/Denver,https://www.chick-fil-a.com/wyomingboulevard,17.0,12.0,2015.0,2015-12-17,interior,True,Stand Alone,False,POINT (-106.55044 35.10588)
Central & Eubank,"Albuquerque-Santa Fe, NM",Albuquerque,US,210 Eubank Blvd SE,87123,NM,35.07037,-106.53206,Ken Sersun,OPEN,America/Denver,https://www.chick-fil-a.com/centralandeubank,6.0,1.0,2016.0,2015-12-03,interior,True,Stand Alone,False,POINT (-106.53206 35.07037)
Cerrillos Road,"Albuquerque-Santa Fe, NM",Santa Fe,US,2400 Cerrillos Rd,87505,NM,35.66001,-105.98127,Mark Ruse,OPEN,America/Denver,https://www.chick-fil-a.com/cerrillosroad,19.0,4.0,2018.0,2018-04-19,interior,True,Stand Alone,False,POINT (-105.98127 35.66001)
Cockrell Hill Drive-Thru Only,"Dallas-Ft. Worth, TX",Dallas,US,1535 N Cockrell Hill Rd,75211,TX,32.763971,-96.895986,Jeff Mulkey,OPEN,America/Chicago,https://www.chick-fil-a.com/cockrellhill,5.0,6.0,2014.0,2014-06-05,none,True,Stand Alone,False,POINT (-96.895986 32.763971)
Love Field,"Dallas-Ft. Worth, TX",Dallas,US,3040 W Mockingbird Ln,75235,TX,32.8320389,-96.8391241,Louie Murillo,OPEN,America/Chicago,https://www.chick-fil-a.com/lovefield,25.0,7.0,2018.0,2018-07-26,interior,True,Stand Alone,False,POINT (-96.8391241 32.8320389)
NW Highway,"Dallas-Ft. Worth, TX",Dallas,US,3820 W Northwest Hwy,75220,TX,32.8614531,-96.8521571,Louie Murillo,OPEN,America/Chicago,https://www.chick-fil-a.com/nwhighway,29.0,1.0,2015.0,2015-01-29,interior,True,Stand Alone,False,POINT (-96.8521571 32.8614531)
Westfield Santa Anita,"Los Angeles, CA",Arcadia,US,400 S Baldwin Ave Ste 738L,91007,CA,34.1347001,-118.0515879,Zach Zimmerman,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/westfieldsantaanita,30.0,1.0,2020.0,2020-01-30,none,False,In-Line,False,POINT (-118.0515879 34.1347001)
E. Colorado Blvd,"Los Angeles, CA",Pasadena,US,1700 E Colorado Blvd,91106,CA,34.14544,-118.11532,Adaobi Gwacham,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/ecoloradoblvd,11.0,12.0,2014.0,2014-12-11,interior,True,Stand Alone,False,POINT (-118.11532 34.14544)
Folsom,"Sacramento-Stockton-Modesto, CA",Folsom,US,2679 E Bidwell St,95630,CA,38.65681,-121.126994,Matt Crane,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/folsom,28.0,6.0,2012.0,2012-06-28,interior,True,Stand Alone,False,POINT (-121.126994 38.65681)
Rivergate Cordova,"Sacramento-Stockton-Modesto, CA",Rancho Cordova,US,2354 Sunrise Blvd,95670,CA,38.61682,-121.26881,Liviu Vizitiu,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/rivergatecordova,19.0,8.0,2015.0,2015-08-19,interior,True,Stand Alone,False,POINT (-121.26881 38.61682)
Granite Bay,"Sacramento-Stockton-Modesto, CA",Granite Bay,US,4040 Douglas Blvd,95746,CA,38.7435,-121.22561,Wade Roepke,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/granitebay,28.0,3.0,2013.0,2013-03-28,interior,True,Stand Alone,False,POINT (-121.22561 38.7435)
Madison Avenue Sacramento,"Sacramento-Stockton-Modesto, CA",Sacramento,US,4644 Madison Ave,95841,CA,38.66058,-121.35569,Eric Mason,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/madisonavenuesacramento,18.0,2.0,2016.0,2015-09-17,none,True,Stand Alone,False,POINT (-121.35569 38.66058)
Rocklin Station,"Sacramento-Stockton-Modesto, CA",Rocklin,US,4600 Sierra College Blvd,95677,CA,38.7998639,-121.2064544,Jason Dyer,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/sierracollegeblvdati80,29.0,4.0,2020.0,2020-04-29,interior,True,Stand Alone,False,POINT (-121.2064544 38.7998639)
Pleasant Grove,"Sacramento-Stockton-Modesto, CA",Roseville,US,912 Pleasant Grove Blvd,95678,CA,38.7850711,-121.2861119,Ben Lavin,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/pleasantgrove,13.0,10.0,2005.0,2005-10-13,interior,True,Stand Alone,False,POINT (-121.2861119 38.7850711)
Arden Fair,"Sacramento-Stockton-Modesto, CA",Sacramento,US,2101 Alta Arden Expy,95825,CA,38.59872,-121.41724,Joshua Paul,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/ardenfair,28.0,9.0,2006.0,2006-09-28,interior,True,Stand Alone,False,POINT (-121.41724 38.59872)
Elk Grove Marketplace,"Sacramento-Stockton-Modesto, CA",Elk Grove,US,8430 Bond Rd,95624,CA,38.4234036,-121.3930878,Nathan Freeman,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/elkgrove,23.0,8.0,2007.0,2007-08-23,interior,False,Stand Alone,False,POINT (-121.3930878 38.4234036)
