jurisdiction_of_occurrence,2014_2019_avg,2020,pct_change
Alabama,51726.0,64271.0,0.24
Alaska,4267.0,5048.0,0.18
Arizona,56926.0,78217.0,0.37
Arkansas,31303.0,38349.0,0.23
California,262281.0,326077.0,0.24
Colorado,38100.0,48242.0,0.27
Connecticut,30972.0,38309.0,0.24
Delaware,8944.0,11084.0,0.24
District of Columbia,5900.0,7542.0,0.28
Florida,199415.0,246449.0,0.24
Georgia,82490.0,104540.0,0.27
Hawaii,11242.0,12204.0,0.09
Idaho,13522.0,16682.0,0.23
Illinois,104829.0,130440.0,0.24
Indiana,64556.0,79438.0,0.23
Iowa,29762.0,36128.0,0.21
Kansas,25915.0,31549.0,0.22
Kentucky,47163.0,56395.0,0.2
Louisiana,45087.0,57326.0,0.27
Maine,14269.0,15851.0,0.11
Maryland,48605.0,60499.0,0.24
Massachusetts,58574.0,69880.0,0.19
Michigan,95427.0,116947.0,0.23
Minnesota,43575.0,52905.0,0.21
Mississippi,31141.0,39783.0,0.28
Missouri,63074.0,77260.0,0.22
Montana,9977.0,12171.0,0.22
Nebraska,16820.0,19977.0,0.19
Nevada,24601.0,31801.0,0.29
New Hampshire,11994.0,13734.0,0.15
New Jersey,72599.0,96739.0,0.33
New Mexico,17829.0,23093.0,0.3
New York,98810.0,121164.0,0.23
New York City,53926.0,83069.0,0.54
North Carolina,92091.0,97954.0,0.06
North Dakota,6990.0,8952.0,0.28
Ohio,120671.0,145949.0,0.21
Oklahoma,38804.0,47006.0,0.21
Oregon,35975.0,40818.0,0.13
Pennsylvania,134270.0,158751.0,0.18
Puerto Rico,29441.0,31337.0,0.06
Rhode Island,10302.0,12332.0,0.2
South Carolina,47616.0,60001.0,0.26
South Dakota,8017.0,10262.0,0.28
Tennessee,72336.0,89689.0,0.24
Texas,197052.0,257039.0,0.3
United States,2764708.0,3419863.0,0.24
Utah,18420.0,22497.0,0.22
Vermont,5710.0,6252.0,0.09
Virginia,66388.0,80649.0,0.21
Washington,55495.0,63848.0,0.15
West Virginia,22342.0,25760.0,0.15
Wisconsin,52129.0,63316.0,0.21
Wyoming,4477.0,5625.0,0.26
