,license_no,name,address,city,state,zip,expires,wc_carrier,wc_exp_date,bond_issuer,bond_eff_date,bond_issuer_clean
1,TA000205812,HADASSAH GROUP LLC,"1801 CENTURY PARK EAST, 24TH FLOOR",LOS ANGELES,CA,90067,2020-03-08,NAN,,THE GRAY CASUALTY & SURETY COMPANY,2018-12-24,GRAY CASUALTY & SURETY
2,TA000206121,RAE MODEL & TALENT AGENCY LLC,"414 MASON STREET, SUITE 705",SAN FRANCISCO,CA,94102,2020-02-14,STATE FUND,2019-04-06,PHILADELPHIA,2012-02-29,PHILADELPHIA
3,TA000206852,JAMES WEISSENBACH  DBA WEISSENBACH MANAGEMENT,5951 AIRDROME STREET,LOS ANGELES,CA,90035,2020-03-17,NAN,,CNA SURETY,2006-03-17,CNA SURETY
4,TA000206953,PARADIGM TALENT AGENCY LLC,8942 WILSHIRE BOULEVARD,BEVERLY HILLS,CA,90211,2019-12-24,FEDERAL INSUR,2019-02-12,HARTFORD,2018-02-12,HARTFORD
9,TA000206994,CRAIG SCAGNETTI  DBA JACK SCAGNETTI AGENCY,5136 VINELAND AVE,NORTH HOLLYWOOD,CA,91601,2020-04-23,NAN,,HARTFORD FIRE,2015-10-06,HARTFORD
11,TA000207061,GREGORY DAVID MAYO  DBA GREGORY DAVID MAYO REPRESE,"8265 WEST SUNSET BLVD, SUITE 207B",WEST HOLLYWOOD,CA,90046,2020-03-03,NAN,,SURETY1,2018-05-01,SURETY 1
12,TA000207064,DAVID MICHAEL HEWITT  DBA DAVID M. HEWITT ENTERPRI,638 LINDERO CANYON RD #240,OAK PARK,CA,91377,2020-03-12,NAN,,HARTFORD INS,2006-01-01,HARTFORD
14,TA000207244,WILLOW MODEL MANAGEMENT LLC  DBA WILLOW MODELS & T,206 W. 4TH STREET  #425,SANTA ANA,CA,92701,2021-02-13,NAN,,HANOVER,2019-02-13,HANOVER
15,TA000207244,WILLOW MODEL MANAGEMENT LLC  DBA WILLOW MODELS & T,"206 W. 4TH STREET, #425",SANTA ANA,CA,92701,2020-02-13,NAN,,THE HANOVER INSURANCE COMPANY,2019-03-08,HANOVER
18,TA000207596,DEBORAH GRACI  DBA TALENTS HUNTERS,23216 RESPIT DR,LAKE FOREST,CA,92630,2020-05-26,NAN,,PHILADELPHIA,2019-10-06,PHILADELPHIA
20,TA000207674,CROWN NORTH TALENT MANAGEMENT INC.  DBA CROWN NORT,"1045 NORTH EL DORADO ST., #12",STOCKTON,CA,95202,2019-12-15,NAN,,THE HARTFORD FIRE INSURANCE,2018-11-14,HARTFORD
22,TA000207736,CARRIE MACY  DBA CARRIE MACY TALENT AGENCY,9595 WILSHIRE BLVD. STE. 900,BEVERLY HILLS,CA,90212,2020-10-01,NAN,,WORLD WIDE,2018-12-30,WORLD WIDE
23,TA000207745,"DPM TALENT AGENCY, INC.","14520 MAGNOLIA, #202",SHERMAN OAKS,CA,91403,2019-12-29,NAN,,THE HANOVER INSURANCE COMPANY,2018-07-01,HANOVER
24,TA000207781,"NO TIES MANAGEMENT, LLC","434 WEST CEDAR STREET, SUITE 200",SAN DIEGO,CA,92101,2020-03-07,PAYCHEX INSUR,2020-01-01,VIKING BOND,2019-11-17,VIKING BOND
