,bond_issuer_clean,count
0,1/1/20,1
1,100264524,1
2,62215141,1
3,A1 SURETY BOND,1
4,ABSOLUTE LLC,1
5,ABSOLUTE SURE,2
6,ACCREDITED SURETY AND CASUALTY INC.,1
7,ACIC,14
8,ADVANCE SURETY AND INSURANCE AGENCY,1
9,ADVANCED SURE,1
10,AEGIS,13
11,AEGIS SECURITY,4
12,AEGIS SECURITY INSURANCE,8
13,AMERICAN CONF,1
14,AMERICAN CONT,1
15,AMERICAN CONTRACTORS INDEMNITY,25
16,AMERICAN CONTRACTORS INDEMNITY INSURANCE,1
17,AMERICAN CONTRACTORS INEMNITY,1
18,AMERICAN CONTRACTORS INMENITY,1
19,AMERICAN INDEMNITY INSURANCE,1
20,AMTRUST SURETY,1
21,ARGONAUT,1
22,ARTISAN BOND,1
23,ATLANTIC SPECIALTY INSURANCE,1
24,BOND EXCHANGE,1
25,BOND EXPRESS,1
26,BONDING SOL,1
27,BONDS EXPRESS,1
28,BONDSEXPRESS,1
29,CAL-SOCIETY,1
30,CITIBANK,1
31,CITY NATIONAL BANK,1
32,CNA,1
33,CNA SURETY,10
34,F&D,1
35,F&D SURETY,1
36,FIDELITY AND DEPOSIT OF MARYLAND,2
37,GDFGDFFD,1
38,GRAY CASU,2
39,GRAY CASUALIT,1
40,GRAY CASUALTY,4
41,GRAY CASUALTY & SURETY,10
42,GRAY CASUALTY AND SURETY,1
43,GRAY INSU,1
44,GRAY SURE,1
45,GREAT AMERICA,4
46,GREAT AMERICAN INSURANCE,4
47,GREAT AMERICAN INSURANCE COMPANIES,1
48,GREAT AMERICAN INSURANCE GROUP,1
49,GREY CASUALTY,1
50,HANOVER,26
51,HARTFORD,163
52,HCC,3
53,HCC SURETY,3
54,HCC SURETY GR,1
55,HCC SURETY GROUP,1
56,IFIC,1
57,IFIS,1
58,INTERNATIONAL,1
59,INTERNATIONAL FIDELITY,1
60,INTERNATIONAL FIDELITY INSURANCE,2
61,INTL SURETIES,1
62,IZEN INS,1
63,JW SURETY,1
64,LANCE SURETY,1
65,LIBERTY MUTUAL,2
66,LIBERTY MUTUAL SURETY,1
67,MADONNA SITKA,1
68,MCCARTHYTRINK,1
69,MERCHANTS,1
70,MERCHANTS BONDING,1
71,MERCHANTSBOND,1
72,NATIONWIDE,1
73,NATIONWIDE MUTUAL INSURANCE,3
74,NAVIGATORS,1
75,NFP PROPERTY,1
76,NORTH AMERICAN SPECIALTY INSURANCE,2
77,NOT LISTED,5
78,OLD REPUBLIC,29
79,OLD SURETY GROUP,1
80,P.I.I.C.,1
81,PHILADELPHIA,5
82,PHILADELPHIA INDEMNITY INSURANCE,9
83,PHILADELPHIA INSURANCE COMPANIES,1
84,PHILDELPHIA INDEMNITY INSURANCE,1
85,PIIC,1
86,PILADELPHIA INDEMNITY INSURANCE,1
87,PLATTE RIVER,5
88,PLATTE RIVER INSURANCE,1
89,PRO SURETY,3
90,RLI INSURANCE,6
91,SAFECO,1
92,SCOTTSDALE IN,1
93,ST PAUL TRAVELERS CASUALTY AND INSURANCE,1
94,STATE FARM,29
95,SURE TEC,2
96,SURETEC,5
97,SURETEC INSUR,2
98,SURETEC INSURANCE,5
99,SURETY,1
100,SURETY 1,82
101,SURETY BOND,3
102,SURETY BONDS,9
103,SURETY CO,1
104,SURETY COMPAN,1
105,SURETY ONE,2
106,SURETY SOLUTI,1
107,SURETYBONDS,6
108,SURETYBONDS.C,2
109,SURETYBONDS.COM,1
110,TOKIO MARINE,13
111,TOKIO MARINE HCC,2
112,TOLMAN WIKER,1
113,TRAVELERS,5
114,TRAVELERS CASUALTY AND SURETY OF AMERICA,1
115,TRAVELERS INS,1
116,U.S. SPECIALTY INSURANCE,1
117,UNION BANK OF CALIFORNIA,1
118,UNITED CASUAL,1
119,UNITED SURETY,1
120,UNITED SURETY INSURANCE,2
121,US FIRE INSURANCE,1
122,US SPECIALTY,1
123,UTICA MUTUAL,1
124,UTICA MUTUAL INSURANCE,1
125,VIGILANT INSURANCE,1
126,VIKING BOND,1
127,W SURETY,1
128,WASHINGTON INTERNATIONAL INSURANCE,3
129,WELLS FARGO,2
130,WESTERN SURETY,101
131,WORLD WIDE,1
