date,count
2021-12-07,1
2021-12-08,2
2021-12-13,1
2021-12-14,5
2021-12-15,1
2021-12-17,1
2021-12-18,2
2021-12-19,1
2021-12-20,2
2021-12-23,1
2021-12-24,2
2021-12-25,1
2021-12-26,1
2021-12-27,2
2021-12-29,2
2021-12-30,1
2021-12-31,1
2022-01-03,1
2022-01-04,5
2022-01-05,6
2022-01-10,1
2022-01-12,1
2022-01-17,8
2022-01-18,4
2022-01-20,1
2022-01-21,4
2022-01-24,2
2022-01-26,4
2022-01-27,2
2022-01-28,2
2022-01-29,3
2022-01-31,1
2022-02-01,4
2022-02-04,2
2022-02-07,3
2022-02-08,2
2022-02-09,9
2022-02-10,1
2022-02-11,6
2022-02-14,1
2022-02-15,3
2022-02-16,2
2022-02-17,3
2022-02-21,1
2022-02-23,1
2022-02-24,3
2022-02-25,6
2022-02-26,1
2022-02-28,4
2022-03-01,1
2022-03-03,1
2022-03-04,1
2022-03-05,1
2022-03-09,1
2022-03-10,2
2022-03-13,1
2022-03-14,3
2022-03-15,2
2022-03-16,2
2022-03-17,5
2022-03-21,1
2022-03-22,1
2022-03-28,1
2022-03-30,2
2022-04-04,1
2022-04-05,1
2022-04-06,1
2022-04-07,6
2022-04-08,2
2022-04-12,1
2022-04-13,1
2022-04-18,1
2022-04-19,2
2022-04-22,1
2022-04-25,2
2022-04-26,4
2022-04-27,2
2022-04-29,2
2022-05-01,1
2022-05-02,3
2022-05-04,4
2022-05-05,4
2022-05-06,3
2022-05-10,1
2022-05-11,3
2022-05-12,4
2022-05-13,1
2022-05-14,1
2022-05-16,1
2022-05-24,5
2022-05-25,4
2022-05-26,2
2022-05-31,2
2022-06-01,2
2022-06-02,5
2022-06-03,1
2022-06-06,3
2022-06-09,2
2022-06-10,2
2022-06-14,2
2022-06-16,2
2022-06-17,1
2022-06-21,1
2022-06-22,2
2022-06-23,5
2022-06-24,4
2022-06-28,5
2022-06-29,1
2022-06-30,3
2022-07-05,3
2022-07-07,2
2022-07-08,1
2022-07-11,4
2022-07-13,3
2022-07-19,2
2022-07-20,5
2022-07-21,5
2022-07-22,2
2022-07-23,1
2022-07-25,3
2022-07-26,2
2022-07-27,2
2022-08-01,2
2022-08-02,6
2022-08-03,2
2022-08-04,4
2022-08-05,1
2022-08-08,2
2022-08-09,2
2022-08-11,2
2022-08-12,1
2022-08-16,1
2022-08-17,6
2022-08-19,2
2022-08-23,3
2022-08-24,2
