"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Tubal pregnancy"	"O00.1"	5	279040168	Unreliable
	"1999"	"1999"	"Ectopic pregnancy, unspecified"	"O00.9"	14	279040168	Unreliable
	"1999"	"1999"	"Hydatidiform mole, unspecified"	"O01.9"	1	279040168	Unreliable
	"1999"	"1999"	"Blighted ovum and nonhydatidiform mole"	"O02.0"	1	279040168	Unreliable
	"1999"	"1999"	"Spontaneous abortion, complete or unspecified, complicated by genital tract and pelvic infection"	"O03.5"	1	279040168	Unreliable
	"1999"	"1999"	"Spontaneous abortion, complete or unspecified, with other and unspecified complications"	"O03.8"	1	279040168	Unreliable
	"1999"	"1999"	"Spontaneous abortion, complete or unspecified, without complication"	"O03.9"	2	279040168	Unreliable
	"1999"	"1999"	"Medical abortion, complete or unspecified, with other and unspecified complications"	"O04.8"	1	279040168	Unreliable
	"1999"	"1999"	"Unspecified abortion, complete or unspecified, complicated by delayed or excessive haemorrhage"	"O06.6"	1	279040168	Unreliable
	"1999"	"1999"	"Unspecified abortion, complete or unspecified, without complication"	"O06.9"	3	279040168	Unreliable
	"1999"	"1999"	"Failed medical abortion, with other and unspecified complications"	"O07.3"	1	279040168	Unreliable
	"1999"	"1999"	"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium"	"O10.0"	2	279040168	Unreliable
	"1999"	"1999"	"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium"	"O10.1"	2	279040168	Unreliable
	"1999"	"1999"	"Pre-existing hypertensive disorder with superimposed proteinuria"	"O11"	1	279040168	Unreliable
	"1999"	"1999"	"Gestational [pregnancy-induced] hypertension without significant proteinuria"	"O13"	1	279040168	Unreliable
	"1999"	"1999"	"Severe pre-eclampsia"	"O14.1"	19	279040168	Unreliable
	"1999"	"1999"	"Pre-eclampsia, unspecified"	"O14.9"	24	279040168	0.0
	"1999"	"1999"	"Eclampsia in pregnancy"	"O15.0"	7	279040168	Unreliable
	"1999"	"1999"	"Eclampsia in the puerperium"	"O15.2"	1	279040168	Unreliable
	"1999"	"1999"	"Eclampsia, unspecified as to time period"	"O15.9"	25	279040168	0.0
	"1999"	"1999"	"Unspecified maternal hypertension"	"O16"	12	279040168	Unreliable
	"1999"	"1999"	"Vomiting of pregnancy, unspecified"	"O21.9"	1	279040168	Unreliable
	"1999"	"1999"	"Deep phlebothrombosis in pregnancy"	"O22.3"	1	279040168	Unreliable
	"1999"	"1999"	"Other venous complications in pregnancy"	"O22.8"	1	279040168	Unreliable
	"1999"	"1999"	"Venous complication in pregnancy, unspecified"	"O22.9"	2	279040168	Unreliable
	"1999"	"1999"	"Infections of the genital tract in pregnancy"	"O23.5"	2	279040168	Unreliable
	"1999"	"1999"	"Pre-existing diabetes mellitus, insulin-dependent"	"O24.0"	1	279040168	Unreliable
	"1999"	"1999"	"Diabetes mellitus arising in pregnancy"	"O24.4"	1	279040168	Unreliable
	"1999"	"1999"	"Diabetes mellitus in pregnancy, unspecified"	"O24.9"	2	279040168	Unreliable
	"1999"	"1999"	"Liver disorders in pregnancy, childbirth and the puerperium"	"O26.6"	7	279040168	Unreliable
	"1999"	"1999"	"Other specified pregnancy-related conditions"	"O26.8"	9	279040168	Unreliable
	"1999"	"1999"	"Pulmonary complications of anaesthesia during pregnancy"	"O29.0"	1	279040168	Unreliable
	"1999"	"1999"	"Cardiac complications of anaesthesia during pregnancy"	"O29.1"	1	279040168	Unreliable
	"1999"	"1999"	"Twin pregnancy"	"O30.0"	1	279040168	Unreliable
	"1999"	"1999"	"Triplet pregnancy"	"O30.1"	1	279040168	Unreliable
	"1999"	"1999"	"Maternal care for breech presentation"	"O32.1"	1	279040168	Unreliable
	"1999"	"1999"	"Maternal care for cervical incompetence"	"O34.3"	1	279040168	Unreliable
	"1999"	"1999"	"Maternal care for signs of fetal hypoxia"	"O36.3"	1	279040168	Unreliable
	"1999"	"1999"	"Maternal care for intrauterine death"	"O36.4"	11	279040168	Unreliable
	"1999"	"1999"	"Infection of amniotic sac and membranes"	"O41.1"	2	279040168	Unreliable
	"1999"	"1999"	"Premature rupture of membranes, unspecified"	"O42.9"	3	279040168	Unreliable
	"1999"	"1999"	"Placenta praevia with haemorrhage"	"O44.1"	2	279040168	Unreliable
	"1999"	"1999"	"Premature separation of placenta, unspecified"	"O45.9"	11	279040168	Unreliable
	"1999"	"1999"	"Antepartum haemorrhage with coagulation defect"	"O46.0"	1	279040168	Unreliable
	"1999"	"1999"	"Other antepartum haemorrhage"	"O46.8"	2	279040168	Unreliable
	"1999"	"1999"	"Antepartum haemorrhage, unspecified"	"O46.9"	4	279040168	Unreliable
	"1999"	"1999"	"Other uterine inertia"	"O62.2"	3	279040168	Unreliable
	"1999"	"1999"	"Intrapartum haemorrhage with coagulation defect"	"O67.0"	3	279040168	Unreliable
	"1999"	"1999"	"Intrapartum haemorrhage, unspecified"	"O67.9"	5	279040168	Unreliable
	"1999"	"1999"	"Rupture of uterus during labour"	"O71.1"	2	279040168	Unreliable
	"1999"	"1999"	"Other obstetric injury to pelvic organs"	"O71.5"	1	279040168	Unreliable
	"1999"	"1999"	"Obstetric haematoma of pelvis"	"O71.7"	1	279040168	Unreliable
	"1999"	"1999"	"Third-stage haemorrhage"	"O72.0"	7	279040168	Unreliable
	"1999"	"1999"	"Other immediate postpartum haemorrhage"	"O72.1"	5	279040168	Unreliable
	"1999"	"1999"	"Delayed and secondary postpartum haemorrhage"	"O72.2"	2	279040168	Unreliable
	"1999"	"1999"	"Postpartum coagulation defects"	"O72.3"	3	279040168	Unreliable
	"1999"	"1999"	"Cardiac complications of anaesthesia during labour and delivery"	"O74.2"	2	279040168	Unreliable
	"1999"	"1999"	"Other complications of anaesthesia during labour and delivery"	"O74.8"	1	279040168	Unreliable
	"1999"	"1999"	"Complication of anaesthesia during labour and delivery, unspecified"	"O74.9"	2	279040168	Unreliable
	"1999"	"1999"	"Shock during or following labour and delivery"	"O75.1"	2	279040168	Unreliable
	"1999"	"1999"	"Other complications of obstetric surgery and procedures"	"O75.4"	7	279040168	Unreliable
	"1999"	"1999"	"Other specified complications of labour and delivery"	"O75.8"	3	279040168	Unreliable
	"1999"	"1999"	"Complication of labour and delivery, unspecified"	"O75.9"	11	279040168	Unreliable
	"1999"	"1999"	"Puerperal sepsis"	"O85"	5	279040168	Unreliable
	"1999"	"1999"	"Pyrexia of unknown origin following delivery"	"O86.4"	2	279040168	Unreliable
	"1999"	"1999"	"Obstetric air embolism"	"O88.0"	1	279040168	Unreliable
	"1999"	"1999"	"Amniotic fluid embolism"	"O88.1"	35	279040168	0.0
	"1999"	"1999"	"Obstetric blood-clot embolism"	"O88.2"	17	279040168	Unreliable
	"1999"	"1999"	"Other complications of anaesthesia during the puerperium"	"O89.8"	1	279040168	Unreliable
	"1999"	"1999"	"Cardiomyopathy in the puerperium"	"O90.3"	22	279040168	0.0
	"1999"	"1999"	"Other complications of the puerperium, not elsewhere classified"	"O90.8"	1	279040168	Unreliable
	"1999"	"1999"	"Obstetric death of unspecified cause"	"O95"	5	279040168	Unreliable
	"1999"	"1999"	"Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium"	"O98.8"	3	279040168	Unreliable
	"1999"	"1999"	"Anaemia complicating pregnancy, childbirth and the puerperium"	"O99.0"	1	279040168	Unreliable
	"1999"	"1999"	"Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium"	"O99.2"	1	279040168	Unreliable
	"1999"	"1999"	"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium"	"O99.4"	16	279040168	Unreliable
	"1999"	"1999"	"Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium"	"O99.5"	3	279040168	Unreliable
	"1999"	"1999"	"Diseases of the digestive system complicating pregnancy, childbirth and the puerperium"	"O99.6"	1	279040168	Unreliable
