year,population
1985,237924000
1986,240133000
1987,242289000
1988,244499000
1989,246819000
1990,249623000
1991,252981000
1992,256514000
1993,259919000
1994,263126000
1995,266278000
1996,269394000
1997,272657000
1998,275854000
1999,279040000
2000,282162411
2001,284968955
2002,287625193
2003,290107933
2004,292805298
2005,295516599
2006,298379912
2007,301231207
2008,304093966
2009,306771529
2010,309327143
2011,311583481
2012,313877662
2013,316059947
2014,318386329
2015,320738994
2016,323071755
2017,325122128
2018,326838199
2019,328329953
2020,329484123
2021,"332,992,659"
