,notes,year,race,race_code,hispanic_origin,hispanic_origin_code,cause_of_death,cause_of_death_code,deaths,population,crude_rate,race_whispanicorigin
3746,,2020,American Indian or Alaska Native,1002-5,Hispanic or Latino,2135-2,Other specified pregnancy-related conditions,O26.8,2.0,2133093,Unreliable,Hispanic or Latino
3756,,2020,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,Other specified pregnancy-related conditions,O26.8,1.0,1128901,Unreliable,Hispanic or Latino
3757,,2020,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium",O99.4,1.0,1128901,Unreliable,Hispanic or Latino
3784,,2020,Black or African American,2054-5,Hispanic or Latino,2135-2,"Unspecified abortion, complete or unspecified, with other and unspecified complications",O06.8,1.0,3560612,Unreliable,Hispanic or Latino
3785,,2020,Black or African American,2054-5,Hispanic or Latino,2135-2,"Eclampsia, unspecified as to time period",O15.9,1.0,3560612,Unreliable,Hispanic or Latino
3786,,2020,Black or African American,2054-5,Hispanic or Latino,2135-2,Unspecified maternal hypertension,O16,1.0,3560612,Unreliable,Hispanic or Latino
3787,,2020,Black or African American,2054-5,Hispanic or Latino,2135-2,Other specified pregnancy-related conditions,O26.8,1.0,3560612,Unreliable,Hispanic or Latino
3788,,2020,Black or African American,2054-5,Hispanic or Latino,2135-2,Amniotic fluid embolism,O88.1,1.0,3560612,Unreliable,Hispanic or Latino
3789,,2020,Black or African American,2054-5,Hispanic or Latino,2135-2,Death from indirect obstetric cause occurring more than 42 days but less than one year after delivery,O96.1,2.0,3560612,Unreliable,Hispanic or Latino
3790,,2020,Black or African American,2054-5,Hispanic or Latino,2135-2,"Other viral diseases complicating pregnancy, childbirth and the puerperium",O98.5,2.0,3560612,Unreliable,Hispanic or Latino
3791,,2020,Black or African American,2054-5,Hispanic or Latino,2135-2,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",O99.8,1.0,3560612,Unreliable,Hispanic or Latino
3846,,2020,White,2106-3,Hispanic or Latino,2135-2,Tubal pregnancy,O00.1,1.0,54490273,Unreliable,Hispanic or Latino
3847,,2020,White,2106-3,Hispanic or Latino,2135-2,"Ectopic pregnancy, unspecified",O00.9,3.0,54490273,Unreliable,Hispanic or Latino
3848,,2020,White,2106-3,Hispanic or Latino,2135-2,"Hydatidiform mole, unspecified",O01.9,1.0,54490273,Unreliable,Hispanic or Latino
3849,,2020,White,2106-3,Hispanic or Latino,2135-2,"Spontaneous abortion, complete or unspecified, without complication",O03.9,1.0,54490273,Unreliable,Hispanic or Latino
3850,,2020,White,2106-3,Hispanic or Latino,2135-2,"Unspecified abortion, complete or unspecified, without complication",O06.9,1.0,54490273,Unreliable,Hispanic or Latino
3851,,2020,White,2106-3,Hispanic or Latino,2135-2,"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",O10.0,1.0,54490273,Unreliable,Hispanic or Latino
3852,,2020,White,2106-3,Hispanic or Latino,2135-2,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",O10.1,9.0,54490273,Unreliable,Hispanic or Latino
3853,,2020,White,2106-3,Hispanic or Latino,2135-2,Pre-existing hypertensive disorder with superimposed proteinuria,O11,1.0,54490273,Unreliable,Hispanic or Latino
3854,,2020,White,2106-3,Hispanic or Latino,2135-2,Gestational [pregnancy-induced] hypertension without significant proteinuria,O13,1.0,54490273,Unreliable,Hispanic or Latino
3855,,2020,White,2106-3,Hispanic or Latino,2135-2,"Pre-eclampsia, unspecified",O14.9,4.0,54490273,Unreliable,Hispanic or Latino
3856,,2020,White,2106-3,Hispanic or Latino,2135-2,Eclampsia in pregnancy,O15.0,1.0,54490273,Unreliable,Hispanic or Latino
3857,,2020,White,2106-3,Hispanic or Latino,2135-2,Deep phlebothrombosis in pregnancy,O22.3,1.0,54490273,Unreliable,Hispanic or Latino
3858,,2020,White,2106-3,Hispanic or Latino,2135-2,"Venous complication in pregnancy, unspecified",O22.9,1.0,54490273,Unreliable,Hispanic or Latino
3859,,2020,White,2106-3,Hispanic or Latino,2135-2,Infections of kidney in pregnancy,O23.0,2.0,54490273,Unreliable,Hispanic or Latino
3860,,2020,White,2106-3,Hispanic or Latino,2135-2,Infections of the genital tract in pregnancy,O23.5,1.0,54490273,Unreliable,Hispanic or Latino
3861,,2020,White,2106-3,Hispanic or Latino,2135-2,"Pre-existing diabetes mellitus, insulin-dependent",O24.0,1.0,54490273,Unreliable,Hispanic or Latino
3862,,2020,White,2106-3,Hispanic or Latino,2135-2,Diabetes mellitus arising in pregnancy,O24.4,1.0,54490273,Unreliable,Hispanic or Latino
3863,,2020,White,2106-3,Hispanic or Latino,2135-2,"Diabetes mellitus in pregnancy, unspecified",O24.9,2.0,54490273,Unreliable,Hispanic or Latino
3864,,2020,White,2106-3,Hispanic or Latino,2135-2,"Liver disorders in pregnancy, childbirth and the puerperium",O26.6,6.0,54490273,Unreliable,Hispanic or Latino
3865,,2020,White,2106-3,Hispanic or Latino,2135-2,Other specified pregnancy-related conditions,O26.8,41.0,54490273,0.1,Hispanic or Latino
3866,,2020,White,2106-3,Hispanic or Latino,2135-2,Morbidly adherent placenta,O43.2,2.0,54490273,Unreliable,Hispanic or Latino
3867,,2020,White,2106-3,Hispanic or Latino,2135-2,"Premature separation of placenta, unspecified",O45.9,5.0,54490273,Unreliable,Hispanic or Latino
3868,,2020,White,2106-3,Hispanic or Latino,2135-2,Other antepartum haemorrhage,O46.8,1.0,54490273,Unreliable,Hispanic or Latino
3869,,2020,White,2106-3,Hispanic or Latino,2135-2,"Antepartum haemorrhage, unspecified",O46.9,3.0,54490273,Unreliable,Hispanic or Latino
3870,,2020,White,2106-3,Hispanic or Latino,2135-2,Rupture of uterus during labour,O71.1,1.0,54490273,Unreliable,Hispanic or Latino
3871,,2020,White,2106-3,Hispanic or Latino,2135-2,Other immediate postpartum haemorrhage,O72.1,3.0,54490273,Unreliable,Hispanic or Latino
3872,,2020,White,2106-3,Hispanic or Latino,2135-2,Other complications of obstetric surgery and procedures,O75.4,4.0,54490273,Unreliable,Hispanic or Latino
3873,,2020,White,2106-3,Hispanic or Latino,2135-2,Amniotic fluid embolism,O88.1,4.0,54490273,Unreliable,Hispanic or Latino
3874,,2020,White,2106-3,Hispanic or Latino,2135-2,Cardiomyopathy in the puerperium,O90.3,2.0,54490273,Unreliable,Hispanic or Latino
3875,,2020,White,2106-3,Hispanic or Latino,2135-2,Obstetric death of unspecified cause,O95,1.0,54490273,Unreliable,Hispanic or Latino
3876,,2020,White,2106-3,Hispanic or Latino,2135-2,Death from direct obstetric cause occurring more than 42 days but less than one year after delivery,O96.0,41.0,54490273,0.1,Hispanic or Latino
3877,,2020,White,2106-3,Hispanic or Latino,2135-2,Death from indirect obstetric cause occurring more than 42 days but less than one year after delivery,O96.1,36.0,54490273,0.1,Hispanic or Latino
3878,,2020,White,2106-3,Hispanic or Latino,2135-2,Death from unspecified obstetric cause occurring more than 42 days but less than one year after delivery,O96.9,1.0,54490273,Unreliable,Hispanic or Latino
3879,,2020,White,2106-3,Hispanic or Latino,2135-2,"Other viral diseases complicating pregnancy, childbirth and the puerperium",O98.5,5.0,54490273,Unreliable,Hispanic or Latino
3880,,2020,White,2106-3,Hispanic or Latino,2135-2,"Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium",O98.8,3.0,54490273,Unreliable,Hispanic or Latino
3881,,2020,White,2106-3,Hispanic or Latino,2135-2,"Anaemia complicating pregnancy, childbirth and the puerperium",O99.0,1.0,54490273,Unreliable,Hispanic or Latino
3882,,2020,White,2106-3,Hispanic or Latino,2135-2,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium",O99.1,1.0,54490273,Unreliable,Hispanic or Latino
3883,,2020,White,2106-3,Hispanic or Latino,2135-2,"Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium",O99.2,1.0,54490273,Unreliable,Hispanic or Latino
