,notice_date,effective_date,received_date,company,city,county,employees,layoff_closure,effective_year
0,2020-03-26,2020-04-01,2020-05-08 00:00:00,Fitness International LLC,Glendale,Los Angeles County,26.0,Layoff Temporary,2020.0
1,2020-04-03,2020-04-05,2020-05-08 00:00:00,"Ross Stores, Inc.",Buena Park,Orange County,444.0,Layoff Temporary,2020.0
2,2020-04-03,2020-04-05,2020-05-08 00:00:00,"Ross Stores, Inc.",Carmichael,Sacramento County,420.0,Layoff Temporary,2020.0
3,2020-04-03,2020-04-05,2020-05-08 00:00:00,"Ross Stores, Inc.",Delano,Kern County,1591.0,Layoff Temporary,2020.0
4,2020-04-22,2020-04-13,2020-05-08 00:00:00,Hard Rock Cafe San Diego,San Diego,San Diego County,6.0,Layoff Temporary,2020.0
5,2020-04-29,2020-03-16,2020-05-08 00:00:00,Toluca Lake Tennis and Fitness Club,Los Angeles,Los Angeles County,76.0,Layoff Temporary,2020.0
6,2020-04-29,2020-04-29,2020-05-08 00:00:00,"Fresno Plumbing & Heating, Inc.",Fresno,Fresno County,70.0,Layoff Temporary,2020.0
7,2020-04-29,2020-04-29,2020-05-08 00:00:00,"Fresno Plumbing & Heating, Inc. dba Coastal Plumbing",Salinas,Monterey County,22.0,Layoff Temporary,2020.0
8,2020-04-29,2020-05-04,2020-05-08 00:00:00,"C.R. England, Inc.",Colton,San Bernardino County,97.0,Layoff Temporary,2020.0
9,2020-04-29,2020-06-28,2020-05-08 00:00:00,DRiV Inc.,Moreno Valley,Riverside County,44.0,Closure Permanent,2020.0
10,2020-04-30,2020-04-30,2020-05-08 00:00:00,Marcus & Millichap,Oakland,Alameda County,1.0,Layoff Temporary,2020.0
11,2020-04-30,2020-04-30,2020-05-08 00:00:00,Marcus & Millichap,Palo Alto,Santa Clara County,7.0,Layoff Temporary,2020.0
12,2020-04-17,2020-04-10,2020-05-08 00:00:00,Redfin Corporation,Irvine,Orange County,35.0,Layoff Temporary,2020.0
13,2020-04-17,2020-04-10,2020-05-08 00:00:00,Redfin Corporation,Los Angeles,Los Angeles County,98.0,Layoff Temporary,2020.0
14,2020-04-17,2020-04-10,2020-05-08 00:00:00,Redfin Corporation,San Francisco,San Francisco County,107.0,Layoff Temporary,2020.0
15,2020-03-23,2020-03-25,2020-05-05 00:00:00,El Monte RV,Santa Fe Springs,Los Angeles County,34.0,Closure Permanent,2020.0
16,2020-04-02,2020-04-02,2020-05-05 00:00:00,La Mesa RV,West Sacramento,Yolo County,29.0,Layoff Temporary,2020.0
17,2020-04-06,2020-03-20,2020-05-05 00:00:00,MacArthur Park Corporation dba MacArthur Park Restaurant,Palo Alto,Santa Clara County,40.0,Layoff Temporary,2020.0
18,2020-04-22,2020-03-27,2020-05-05 00:00:00,Raincross Hospitality Corporation,Riverside,Riverside County,85.0,Closure Temporary,2020.0
19,2020-04-23,2020-04-22,2020-05-05 00:00:00,JetStream Ground Services Inc.,Los Angeles,Los Angeles County,176.0,Layoff Permanent,2020.0
20,2020-04-23,2020-04-23,2020-05-05 00:00:00,"Altman Specialty Plants, LLC - Fallbrook Facility",Fallbrook,San Diego County,46.0,Layoff Permanent,2020.0
21,2020-04-23,2020-04-26,2020-05-05 00:00:00,Weber Metals Inc. an OTTO FUCHS Company,Paramount,Los Angeles County,181.0,Layoff Unknown at this time,2020.0
22,2020-04-23,2020-05-15,2020-05-05 00:00:00,"LERETA, LLC",Pomona,Los Angeles County,52.0,Layoff Permanent,2020.0
23,2020-04-23,2020-06-22,2020-05-05 00:00:00,"LERETA, LLC",Rancho Cucamonga,San Bernardino County,62.0,Layoff Permanent,2020.0
24,2020-04-27,2020-03-16,2020-05-05 00:00:00,Regal Cinemas,Bakersfield,Kern County,64.0,Layoff Temporary,2020.0
25,2020-04-27,2020-03-16,2020-05-05 00:00:00,Regal Cinemas,El Dorado Hills,El Dorado County,59.0,Layoff Temporary,2020.0
26,2020-04-27,2020-03-16,2020-05-05 00:00:00,Regal Cinemas,Ontario,San Bernardino County,87.0,Layoff Temporary,2020.0
