y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi
01,000,96,000,AL,Total Migration-US and Foreign,82311,165210,3469633
01,000,97,000,AL,Total Migration-US,81597,163743,3433481
01,000,97,001,AL,Total Migration-Same State,46630,95832,1871804
01,000,97,003,AL,Total Migration-Different State,34967,67911,1561677
01,000,98,000,AL,Total Migration-Foreign,714,1467,36152
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,1266,2605,52543
01,001,97,000,AL,Autauga County Total Migration-US,1266,2605,52543
01,001,97,001,AL,Autauga County Total Migration-Same State,908,1881,36009
01,001,97,003,AL,Autauga County Total Migration-Different State,358,724,16534
01,001,98,000,AL,Autauga County Total Migration-Foreign,-1,-1,-1
01,001,01,001,AL,Autauga County Non-migrants,18142,42354,1087911
01,001,01,051,AL,Elmore County,319,692,12952
01,001,01,101,AL,Montgomery County,288,577,10053
01,001,01,021,AL,Chilton County,60,140,2121
01,001,01,073,AL,Jefferson County,29,47,960
01,001,01,117,AL,Shelby County,26,37,1150
01,001,01,081,AL,Lee County,24,49,874
01,001,58,000,SS,Other flows - Same State,162,339,7899
01,001,59,000,DS,Other flows - Different State,358,724,16534
01,001,59,001,DS,Other flows - Northeast,-1,-1,-1
01,001,59,003,DS,Other flows - Midwest,39,59,1754
01,001,59,005,DS,Other flows - South,271,555,12357
01,001,59,007,DS,Other flows - West,48,110,2423
01,001,57,009,FR,Foreign - Other flows,-1,-1,-1
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,3350,6178,124715
01,003,97,000,AL,Baldwin County Total Migration-US,3326,6140,123128
01,003,97,001,AL,Baldwin County Total Migration-Same State,1228,2297,49744
01,003,97,003,AL,Baldwin County Total Migration-Different State,2098,3843,73385
01,003,98,000,AL,Baldwin County Total Migration-Foreign,24,38,1587
01,003,01,003,AL,Baldwin County Non-migrants,69694,151534,4594397
01,003,01,097,AL,Mobile County,582,1095,23269
01,003,12,033,FL,Escambia County,300,579,13122
01,003,01,073,AL,Jefferson County,97,164,4120
01,003,01,053,AL,Escambia County,64,147,2159
01,003,01,117,AL,Shelby County,56,109,3670
01,003,12,113,FL,Santa Rosa County,47,87,2830
01,003,01,125,AL,Tuscaloosa County,44,62,2026
01,003,48,453,TX,Travis County,35,60,909
01,003,01,089,AL,Madison County,33,55,1243
01,003,12,091,FL,Okaloosa County,33,54,1281
01,003,01,081,AL,Lee County,32,56,1457
01,003,48,201,TX,Harris County,32,63,1905
01,003,13,121,GA,Fulton County,25,39,1355
01,003,12,005,FL,Bay County,24,45,1373
01,003,28,059,MS,Jackson County,24,51,1997
01,003,57,001,FR,Foreign - Overseas,24,38,1587
01,003,01,101,AL,Montgomery County,23,36,616
01,003,28,047,MS,Harrison County,21,46,615
01,003,47,037,TN,Davidson County,21,29,773
01,003,01,099,AL,Monroe County,20,46,543
01,003,58,000,SS,Other flows - Same State,277,527,10640
01,003,59,000,DS,Other flows - Different State,1535,2785,44918
01,003,59,001,DS,Other flows - Northeast,85,136,3222
01,003,59,003,DS,Other flows - Midwest,223,386,8085
01,003,59,005,DS,Other flows - South,982,1830,21504
01,003,59,007,DS,Other flows - West,245,433,12107
01,003,57,009,FR,Foreign - Other flows,-1,-1,-1
01,005,96,000,AL,Barbour County Total Migration-US and Foreign,425,879,14685
01,005,97,000,AL,Barbour County Total Migration-US,425,879,14685
01,005,97,001,AL,Barbour County Total Migration-Same State,265,549,8223
01,005,97,003,AL,Barbour County Total Migration-Different State,160,330,6462
01,005,01,005,AL,Barbour County Non-migrants,7737,17277,328342
01,005,01,045,AL,Dale County,50,98,1366
01,005,01,069,AL,Houston County,48,103,1372
01,005,01,067,AL,Henry County,34,70,1219
01,005,13,239,GA,Quitman County,23,47,641
01,005,58,000,SS,Other flows - Same State,133,278,4266
01,005,59,000,DS,Other flows - Different State,137,283,5821
01,005,59,001,DS,Other flows - Northeast,-1,-1,-1
01,005,59,003,DS,Other flows - Midwest,-1,-1,-1
01,005,59,005,DS,Other flows - South,137,283,5821
01,005,59,007,DS,Other flows - West,-1,-1,-1
01,007,96,000,AL,Bibb County Total Migration-US and Foreign,324,706,9903
01,007,97,000,AL,Bibb County Total Migration-US,324,706,9903
